FltNum,Route,airport_arrival,airport_depart,Cabin,Bid Price,Bid Price max,IssueDate,DepDate,yday,dday,dtime,month,Dprio
5433,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,06:10,6,1.0
5433,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,06:10,6,1.0
5434,LUX-CPH,LUX,CPH,Eco.,2.0,2.0,2019-06-13,2019-06-14,165,Friday,08:35,6,1.0
5434,LUX-CPH,LUX,CPH,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,08:35,6,1.0
5435,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,17:55,6,1.0
5435,LUX-CPH,CPH,LUX,Bus.,1.0,1.0,2019-06-13,2019-06-14,165,Friday,17:55,6,1.0
5436,LUX-CPH,LUX,CPH,Bus.,72.0,72.0,2019-06-13,2019-06-14,165,Friday,20:30,6,1.0
5436,LUX-CPH,LUX,CPH,Eco.,104.0,104.0,2019-06-13,2019-06-14,165,Friday,20:30,6,1.0
5437,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,12:40,6,1.0
5437,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,12:40,6,1.0
5438,LUX-CPH,LUX,CPH,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,15:10,6,1.0
5438,LUX-CPH,LUX,CPH,Eco.,13.0,13.0,2019-06-13,2019-06-14,165,Friday,15:10,6,1.0
5433,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-15,166,Saturday,06:10,6,2.0
5433,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-15,166,Saturday,06:10,6,2.0
5433,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-15,166,Saturday,06:10,6,1.0
5433,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-15,166,Saturday,06:10,6,1.0
5434,LUX-CPH,LUX,CPH,Eco.,0.0,0.0,2019-06-13,2019-06-15,166,Saturday,08:35,6,2.0
5434,LUX-CPH,LUX,CPH,Bus.,0.0,0.0,2019-06-13,2019-06-15,166,Saturday,08:35,6,2.0
5434,LUX-CPH,LUX,CPH,Eco.,0.0,0.0,2019-06-14,2019-06-15,166,Saturday,08:35,6,1.0
5434,LUX-CPH,LUX,CPH,Bus.,0.0,0.0,2019-06-14,2019-06-15,166,Saturday,08:35,6,1.0
5435,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,18:20,6,3.0
5435,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,18:20,6,3.0
5435,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,18:20,6,2.0
5435,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,18:20,6,2.0
5435,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,18:20,6,1.0
5435,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,18:20,6,1.0
5436,LUX-CPH,LUX,CPH,Eco.,264.0,264.0,2019-06-13,2019-06-16,167,Sunday,20:50,6,3.0
5436,LUX-CPH,LUX,CPH,Bus.,62.0,62.0,2019-06-13,2019-06-16,167,Sunday,20:50,6,3.0
5436,LUX-CPH,LUX,CPH,Eco.,259.0,259.0,2019-06-14,2019-06-16,167,Sunday,20:50,6,2.0
5436,LUX-CPH,LUX,CPH,Bus.,58.0,58.0,2019-06-14,2019-06-16,167,Sunday,20:50,6,2.0
5436,LUX-CPH,LUX,CPH,Eco.,254.0,254.0,2019-06-15,2019-06-16,167,Sunday,20:50,6,1.0
5436,LUX-CPH,LUX,CPH,Bus.,52.0,52.0,2019-06-15,2019-06-16,167,Sunday,20:50,6,1.0
5437,LUX-CPH,CPH,LUX,Eco.,190.0,190.0,2019-06-13,2019-06-16,167,Sunday,13:20,6,3.0
5437,LUX-CPH,CPH,LUX,Bus.,32.0,32.0,2019-06-13,2019-06-16,167,Sunday,13:20,6,3.0
5437,LUX-CPH,CPH,LUX,Eco.,185.0,185.0,2019-06-14,2019-06-16,167,Sunday,13:20,6,2.0
5437,LUX-CPH,CPH,LUX,Bus.,35.0,35.0,2019-06-14,2019-06-16,167,Sunday,13:20,6,2.0
5437,LUX-CPH,CPH,LUX,Bus.,29.0,29.0,2019-06-15,2019-06-16,167,Sunday,13:20,6,1.0
5437,LUX-CPH,CPH,LUX,Eco.,167.0,167.0,2019-06-15,2019-06-16,167,Sunday,13:20,6,1.0
5438,LUX-CPH,LUX,CPH,Eco.,260.0,260.0,2019-06-13,2019-06-16,167,Sunday,15:50,6,3.0
5438,LUX-CPH,LUX,CPH,Bus.,38.0,38.0,2019-06-13,2019-06-16,167,Sunday,15:50,6,3.0
5438,LUX-CPH,LUX,CPH,Bus.,32.0,32.0,2019-06-14,2019-06-16,167,Sunday,15:50,6,2.0
5438,LUX-CPH,LUX,CPH,Eco.,256.0,256.0,2019-06-14,2019-06-16,167,Sunday,15:50,6,2.0
5438,LUX-CPH,LUX,CPH,Eco.,256.0,256.0,2019-06-15,2019-06-16,167,Sunday,15:50,6,1.0
5438,LUX-CPH,LUX,CPH,Bus.,43.0,43.0,2019-06-15,2019-06-16,167,Sunday,15:50,6,1.0
5433,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,06:10,6,4.0
5433,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,06:10,6,4.0
5433,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,06:10,6,3.0
5433,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,06:10,6,3.0
5433,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,06:10,6,2.0
5433,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,06:10,6,2.0
5433,LUX-CPH,CPH,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,06:10,6,1.0
5433,LUX-CPH,CPH,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,06:10,6,1.0
5434,LUX-CPH,LUX,CPH,Eco.,248.0,248.0,2019-06-13,2019-06-17,168,Monday,08:35,6,4.0
