FltNum,Route,airport_arrival,airport_depart,Cabin,Bid Price,Bid Price max,IssueDate,DepDate,yday,dday,dtime,month,Dprio
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,17:45,6,1.0
4883,LUX-DUB,DUB,LUX,Eco.,197.0,197.0,2019-06-13,2019-06-14,165,Friday,17:45,6,1.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,19:30,6,1.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,19:30,6,1.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,18:00,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,18:00,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,18:00,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,18:00,6,2.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,18:00,6,1.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,18:00,6,1.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,19:45,6,3.0
4884,LUX-DUB,LUX,DUB,Eco.,229.0,229.0,2019-06-13,2019-06-16,167,Sunday,19:45,6,3.0
4884,LUX-DUB,LUX,DUB,Eco.,206.0,206.0,2019-06-14,2019-06-16,167,Sunday,19:45,6,2.0
4884,LUX-DUB,LUX,DUB,Bus.,37.0,37.0,2019-06-14,2019-06-16,167,Sunday,19:45,6,2.0
4884,LUX-DUB,LUX,DUB,Bus.,32.0,32.0,2019-06-15,2019-06-16,167,Sunday,19:45,6,1.0
4884,LUX-DUB,LUX,DUB,Eco.,279.0,279.0,2019-06-15,2019-06-16,167,Sunday,19:45,6,1.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,17:45,6,4.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,17:45,6,4.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,17:45,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,17:45,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,17:45,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,17:45,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,17:45,6,1.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,17:45,6,1.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,19:30,6,4.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,19:30,6,4.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,19:30,6,3.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,19:30,6,3.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,19:30,6,2.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,19:30,6,2.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,19:30,6,1.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,19:30,6,1.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,17:25,6,5.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,17:25,6,5.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,17:25,6,4.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,17:25,6,4.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,17:25,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,17:25,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,17:25,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,17:25,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,17:25,6,1.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,17:25,6,1.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,19:30,6,5.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,19:30,6,5.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,19:30,6,4.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,19:30,6,4.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,19:30,6,3.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,19:30,6,3.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,19:30,6,2.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,19:30,6,2.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,19:30,6,1.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,19:30,6,1.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,17:45,6,6.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,17:45,6,6.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,17:45,6,5.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,17:45,6,5.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,17:45,6,4.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,17:45,6,4.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,17:45,6,3.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,17:45,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,17:45,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,17:45,6,2.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-18,2019-06-19,170,Wednesday,17:45,6,1.0
4883,LUX-DUB,DUB,LUX,Eco.,0.0,0.0,2019-06-18,2019-06-19,170,Wednesday,17:45,6,1.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,19:30,6,6.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,19:30,6,6.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,19:30,6,5.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,19:30,6,5.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,19:30,6,4.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,19:30,6,4.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,19:30,6,3.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,19:30,6,3.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,19:30,6,2.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,19:30,6,2.0
4884,LUX-DUB,LUX,DUB,Eco.,0.0,0.0,2019-06-18,2019-06-19,170,Wednesday,19:30,6,1.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-18,2019-06-19,170,Wednesday,19:30,6,1.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-20,171,Thursday,17:25,6,7.0
4883,LUX-DUB,DUB,LUX,Eco.,204.0,204.0,2019-06-13,2019-06-20,171,Thursday,17:25,6,7.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-20,171,Thursday,17:25,6,6.0
4883,LUX-DUB,DUB,LUX,Eco.,204.0,204.0,2019-06-14,2019-06-20,171,Thursday,17:25,6,6.0
4883,LUX-DUB,DUB,LUX,Eco.,107.0,107.0,2019-06-15,2019-06-20,171,Thursday,17:25,6,5.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-20,171,Thursday,17:25,6,5.0
4883,LUX-DUB,DUB,LUX,Eco.,108.0,108.0,2019-06-16,2019-06-20,171,Thursday,17:25,6,4.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-20,171,Thursday,17:25,6,4.0
4883,LUX-DUB,DUB,LUX,Eco.,99.0,99.0,2019-06-17,2019-06-20,171,Thursday,17:25,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-17,2019-06-20,171,Thursday,17:25,6,3.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-18,2019-06-20,171,Thursday,17:25,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,89.0,89.0,2019-06-18,2019-06-20,171,Thursday,17:25,6,2.0
4883,LUX-DUB,DUB,LUX,Eco.,72.0,72.0,2019-06-19,2019-06-20,171,Thursday,17:25,6,1.0
4883,LUX-DUB,DUB,LUX,Bus.,0.0,0.0,2019-06-19,2019-06-20,171,Thursday,17:25,6,1.0
4884,LUX-DUB,LUX,DUB,Eco.,120.0,120.0,2019-06-13,2019-06-20,171,Thursday,19:30,6,7.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-13,2019-06-20,171,Thursday,19:30,6,7.0
4884,LUX-DUB,LUX,DUB,Bus.,0.0,0.0,2019-06-14,2019-06-20,171,Thursday,19:30,6,6.0
4884,LUX-DUB,LUX,DUB,Eco.,120.0,120.0,2019-06-14,2019-06-20,171,Thursday,19:30,6,6.0
