FltNum,Route,airport_arrival,airport_depart,Cabin,Bid Price,Bid Price max,IssueDate,DepDate,yday,dday,dtime,month,Dprio
3751,LUX-LIS,LIS,LUX,Eco.,282.0,282.0,2019-06-13,2019-06-14,165,Friday,10:50,6,1.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,10:50,6,1.0
3752,LUX-LIS,LUX,LIS,Eco.,106.0,106.0,2019-06-13,2019-06-14,165,Friday,13:25,6,1.0
3752,LUX-LIS,LUX,LIS,Bus.,105.0,105.0,2019-06-13,2019-06-14,165,Friday,13:25,6,1.0
3751,LUX-LIS,LIS,LUX,Bus.,6.0,6.0,2019-06-13,2019-06-17,168,Monday,10:50,6,4.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,10:50,6,4.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,10:50,6,3.0
3751,LUX-LIS,LIS,LUX,Bus.,1.0,1.0,2019-06-14,2019-06-17,168,Monday,10:50,6,3.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,10:50,6,2.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,10:50,6,2.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,10:50,6,1.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,10:50,6,1.0
3752,LUX-LIS,LUX,LIS,Eco.,1.0,1.0,2019-06-13,2019-06-17,168,Monday,13:25,6,4.0
3752,LUX-LIS,LUX,LIS,Bus.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,13:25,6,4.0
3752,LUX-LIS,LUX,LIS,Bus.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,13:25,6,3.0
3752,LUX-LIS,LUX,LIS,Eco.,3.0,3.0,2019-06-14,2019-06-17,168,Monday,13:25,6,3.0
3752,LUX-LIS,LUX,LIS,Eco.,6.0,6.0,2019-06-15,2019-06-17,168,Monday,13:25,6,2.0
3752,LUX-LIS,LUX,LIS,Bus.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,13:25,6,2.0
3752,LUX-LIS,LUX,LIS,Eco.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,13:25,6,1.0
3752,LUX-LIS,LUX,LIS,Bus.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,13:25,6,1.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,10:50,6,5.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,10:50,6,5.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,10:50,6,4.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,10:50,6,4.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,10:50,6,3.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,10:50,6,3.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,10:50,6,2.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,10:50,6,2.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,10:50,6,1.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,10:50,6,1.0
3752,LUX-LIS,LUX,LIS,Bus.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,13:25,6,5.0
3752,LUX-LIS,LUX,LIS,Eco.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,13:25,6,5.0
3752,LUX-LIS,LUX,LIS,Eco.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,13:25,6,4.0
3752,LUX-LIS,LUX,LIS,Bus.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,13:25,6,4.0
3752,LUX-LIS,LUX,LIS,Eco.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,13:25,6,3.0
3752,LUX-LIS,LUX,LIS,Bus.,110.0,110.0,2019-06-15,2019-06-18,169,Tuesday,13:25,6,3.0
3752,LUX-LIS,LUX,LIS,Eco.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,13:25,6,2.0
3752,LUX-LIS,LUX,LIS,Bus.,88.0,88.0,2019-06-16,2019-06-18,169,Tuesday,13:25,6,2.0
3752,LUX-LIS,LUX,LIS,Eco.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,13:25,6,1.0
3752,LUX-LIS,LUX,LIS,Bus.,44.0,44.0,2019-06-17,2019-06-18,169,Tuesday,13:25,6,1.0
3751,LUX-LIS,LIS,LUX,Bus.,54.0,54.0,2019-06-13,2019-06-19,170,Wednesday,10:50,6,6.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,10:50,6,6.0
3751,LUX-LIS,LIS,LUX,Bus.,43.0,43.0,2019-06-14,2019-06-19,170,Wednesday,10:50,6,5.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,10:50,6,5.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,10:50,6,4.0
3751,LUX-LIS,LIS,LUX,Bus.,24.0,24.0,2019-06-15,2019-06-19,170,Wednesday,10:50,6,4.0
3751,LUX-LIS,LIS,LUX,Bus.,6.0,6.0,2019-06-16,2019-06-19,170,Wednesday,10:50,6,3.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,10:50,6,3.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,10:50,6,2.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,10:50,6,2.0
3751,LUX-LIS,LIS,LUX,Eco.,0.0,0.0,2019-06-18,2019-06-19,170,Wednesday,10:50,6,1.0
3751,LUX-LIS,LIS,LUX,Bus.,0.0,0.0,2019-06-18,2019-06-19,170,Wednesday,10:50,6,1.0
