FltNum,Route,airport_arrival,airport_depart,Cabin,Bid Price,Bid Price max,IssueDate,DepDate,yday,dday,dtime,month,Dprio
6991,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,06:25,6,1.0
6991,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-13,2019-06-14,165,Friday,06:25,6,1.0
6992,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-14,165,Friday,08:25,6,1.0
6992,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,08:25,6,1.0
6993,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-13,2019-06-14,165,Friday,11:15,6,1.0
6993,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,11:15,6,1.0
6994,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-14,165,Friday,13:05,6,1.0
6994,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,13:05,6,1.0
6995,LUX-MXP,MXP,LUX,Eco.,307.0,307.0,2019-06-13,2019-06-14,165,Friday,14:20,6,1.0
6995,LUX-MXP,MXP,LUX,Bus.,24.0,24.0,2019-06-13,2019-06-14,165,Friday,14:20,6,1.0
6996,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,16:15,6,1.0
6996,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-14,165,Friday,16:15,6,1.0
6997,LUX-MXP,MXP,LUX,Bus.,15.0,15.0,2019-06-13,2019-06-14,165,Friday,19:10,6,1.0
6997,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-13,2019-06-14,165,Friday,19:10,6,1.0
6998,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,21:10,6,1.0
6998,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-14,165,Friday,21:10,6,1.0
6993,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-13,2019-06-15,166,Saturday,11:05,6,2.0
6993,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-15,166,Saturday,11:05,6,2.0
6993,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-15,166,Saturday,11:05,6,1.0
6993,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-14,2019-06-15,166,Saturday,11:05,6,1.0
6994,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-15,166,Saturday,13:00,6,2.0
6994,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-13,2019-06-15,166,Saturday,13:00,6,2.0
6994,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-14,2019-06-15,166,Saturday,13:00,6,1.0
6994,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-14,2019-06-15,166,Saturday,13:00,6,1.0
6995,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,12:20,6,3.0
6995,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-13,2019-06-16,167,Sunday,12:20,6,3.0
6995,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-14,2019-06-16,167,Sunday,12:20,6,2.0
6995,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,12:20,6,2.0
6995,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-15,2019-06-16,167,Sunday,12:20,6,1.0
6995,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,12:20,6,1.0
6996,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,14:15,6,3.0
6996,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-16,167,Sunday,14:15,6,3.0
6996,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,14:15,6,2.0
6996,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-14,2019-06-16,167,Sunday,14:15,6,2.0
6996,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,14:15,6,1.0
6996,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-15,2019-06-16,167,Sunday,14:15,6,1.0
6997,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-13,2019-06-16,167,Sunday,19:30,6,3.0
6997,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,19:30,6,3.0
6997,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,19:30,6,2.0
6997,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-14,2019-06-16,167,Sunday,19:30,6,2.0
6997,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-15,2019-06-16,167,Sunday,19:30,6,1.0
6997,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,19:30,6,1.0
6998,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-16,167,Sunday,21:25,6,3.0
6998,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,21:25,6,3.0
6998,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-14,2019-06-16,167,Sunday,21:25,6,2.0
6998,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,21:25,6,2.0
6998,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,21:25,6,1.0
6998,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-15,2019-06-16,167,Sunday,21:25,6,1.0
6991,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-13,2019-06-17,168,Monday,06:25,6,4.0
6991,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,06:25,6,4.0
6991,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-14,2019-06-17,168,Monday,06:25,6,3.0
6991,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,06:25,6,3.0
6991,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-15,2019-06-17,168,Monday,06:25,6,2.0
6991,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-17,168,Monday,06:25,6,2.0
6991,LUX-MXP,MXP,LUX,Eco.,101.0,101.0,2019-06-16,2019-06-17,168,Monday,06:25,6,1.0
6991,LUX-MXP,MXP,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-17,168,Monday,06:25,6,1.0
6992,LUX-MXP,LUX,MXP,Bus.,1.0,1.0,2019-06-13,2019-06-17,168,Monday,08:25,6,4.0
6992,LUX-MXP,LUX,MXP,Eco.,120.0,120.0,2019-06-13,2019-06-17,168,Monday,08:25,6,4.0
6992,LUX-MXP,LUX,MXP,Bus.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,08:25,6,3.0
6992,LUX-MXP,LUX,MXP,Eco.,551.0,551.0,2019-06-14,2019-06-17,168,Monday,08:25,6,3.0
6992,LUX-MXP,LUX,MXP,Eco.,146.0,146.0,2019-06-15,2019-06-17,168,Monday,08:25,6,2.0
6992,LUX-MXP,LUX,MXP,Bus.,29.0,29.0,2019-06-15,2019-06-17,168,Monday,08:25,6,2.0
6992,LUX-MXP,LUX,MXP,Bus.,3.0,3.0,2019-06-16,2019-06-17,168,Monday,08:25,6,1.0
6992,LUX-MXP,LUX,MXP,Eco.,123.0,123.0,2019-06-16,2019-06-17,168,Monday,08:25,6,1.0
