FltNum,Route,airport_arrival,airport_depart,Cabin,Bid Price,Bid Price max,IssueDate,DepDate,yday,dday,dtime,month,Dprio
3769,LUX-OPO,OPO,LUX,Eco.,141.0,141.0,2019-06-13,2019-06-14,165,Friday,06:00,6,1.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-14,165,Friday,06:00,6,1.0
3770,LUX-OPO,LUX,OPO,Bus.,146.0,146.0,2019-06-13,2019-06-14,165,Friday,08:20,6,1.0
3770,LUX-OPO,LUX,OPO,Eco.,113.0,113.0,2019-06-13,2019-06-14,165,Friday,08:20,6,1.0
3761,LUX-OPO,OPO,LUX,Bus.,191.0,191.0,2019-06-13,2019-06-16,167,Sunday,17:10,6,3.0
3761,LUX-OPO,OPO,LUX,Eco.,128.0,128.0,2019-06-13,2019-06-16,167,Sunday,17:10,6,3.0
3761,LUX-OPO,OPO,LUX,Bus.,191.0,191.0,2019-06-14,2019-06-16,167,Sunday,17:10,6,2.0
3761,LUX-OPO,OPO,LUX,Eco.,142.0,142.0,2019-06-14,2019-06-16,167,Sunday,17:10,6,2.0
3761,LUX-OPO,OPO,LUX,Eco.,143.0,143.0,2019-06-15,2019-06-16,167,Sunday,17:10,6,1.0
3761,LUX-OPO,OPO,LUX,Bus.,191.0,191.0,2019-06-15,2019-06-16,167,Sunday,17:10,6,1.0
3762,LUX-OPO,LUX,OPO,Eco.,191.0,191.0,2019-06-13,2019-06-16,167,Sunday,19:25,6,3.0
3762,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-13,2019-06-16,167,Sunday,19:25,6,3.0
3762,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-14,2019-06-16,167,Sunday,19:25,6,2.0
3762,LUX-OPO,LUX,OPO,Eco.,183.0,183.0,2019-06-14,2019-06-16,167,Sunday,19:25,6,2.0
3762,LUX-OPO,LUX,OPO,Eco.,203.0,203.0,2019-06-15,2019-06-16,167,Sunday,19:25,6,1.0
3762,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-15,2019-06-16,167,Sunday,19:25,6,1.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-17,168,Monday,06:00,6,4.0
3769,LUX-OPO,OPO,LUX,Eco.,98.0,98.0,2019-06-13,2019-06-17,168,Monday,06:00,6,4.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-17,168,Monday,06:00,6,3.0
3769,LUX-OPO,OPO,LUX,Eco.,112.0,112.0,2019-06-14,2019-06-17,168,Monday,06:00,6,3.0
3769,LUX-OPO,OPO,LUX,Eco.,111.0,111.0,2019-06-15,2019-06-17,168,Monday,06:00,6,2.0
3769,LUX-OPO,OPO,LUX,Bus.,49.0,49.0,2019-06-15,2019-06-17,168,Monday,06:00,6,2.0
3769,LUX-OPO,OPO,LUX,Eco.,126.0,126.0,2019-06-16,2019-06-17,168,Monday,06:00,6,1.0
3769,LUX-OPO,OPO,LUX,Bus.,49.0,49.0,2019-06-16,2019-06-17,168,Monday,06:00,6,1.0
3770,LUX-OPO,LUX,OPO,Eco.,97.0,97.0,2019-06-13,2019-06-17,168,Monday,08:20,6,4.0
3770,LUX-OPO,LUX,OPO,Bus.,221.0,221.0,2019-06-13,2019-06-17,168,Monday,08:20,6,4.0
3770,LUX-OPO,LUX,OPO,Bus.,221.0,221.0,2019-06-14,2019-06-17,168,Monday,08:20,6,3.0
3770,LUX-OPO,LUX,OPO,Eco.,98.0,98.0,2019-06-14,2019-06-17,168,Monday,08:20,6,3.0
3770,LUX-OPO,LUX,OPO,Eco.,93.0,93.0,2019-06-15,2019-06-17,168,Monday,08:20,6,2.0
3770,LUX-OPO,LUX,OPO,Bus.,221.0,221.0,2019-06-15,2019-06-17,168,Monday,08:20,6,2.0
3770,LUX-OPO,LUX,OPO,Eco.,112.0,112.0,2019-06-16,2019-06-17,168,Monday,08:20,6,1.0
3770,LUX-OPO,LUX,OPO,Bus.,221.0,221.0,2019-06-16,2019-06-17,168,Monday,08:20,6,1.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,06:00,6,5.0
3769,LUX-OPO,OPO,LUX,Eco.,1.0,1.0,2019-06-13,2019-06-18,169,Tuesday,06:00,6,5.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,06:00,6,4.0
3769,LUX-OPO,OPO,LUX,Eco.,1.0,1.0,2019-06-14,2019-06-18,169,Tuesday,06:00,6,4.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,06:00,6,3.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,06:00,6,3.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,06:00,6,2.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,06:00,6,2.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,06:00,6,1.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,06:00,6,1.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,08:20,6,5.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-13,2019-06-18,169,Tuesday,08:20,6,5.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,08:20,6,4.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-14,2019-06-18,169,Tuesday,08:20,6,4.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,08:20,6,3.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-15,2019-06-18,169,Tuesday,08:20,6,3.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,08:20,6,2.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-16,2019-06-18,169,Tuesday,08:20,6,2.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,08:20,6,1.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-17,2019-06-18,169,Tuesday,08:20,6,1.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,06:00,6,6.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,06:00,6,6.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,06:00,6,5.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,06:00,6,5.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,06:00,6,4.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,06:00,6,4.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,06:00,6,3.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,06:00,6,3.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,06:00,6,2.0
3769,LUX-OPO,OPO,LUX,Bus.,0.0,0.0,2019-06-17,2019-06-19,170,Wednesday,06:00,6,2.0
3769,LUX-OPO,OPO,LUX,Bus.,77.0,77.0,2019-06-18,2019-06-19,170,Wednesday,06:00,6,1.0
3769,LUX-OPO,OPO,LUX,Eco.,0.0,0.0,2019-06-18,2019-06-19,170,Wednesday,06:00,6,1.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,08:20,6,6.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-13,2019-06-19,170,Wednesday,08:20,6,6.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,08:20,6,5.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-14,2019-06-19,170,Wednesday,08:20,6,5.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,08:20,6,4.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-15,2019-06-19,170,Wednesday,08:20,6,4.0
3770,LUX-OPO,LUX,OPO,Eco.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,08:20,6,3.0
3770,LUX-OPO,LUX,OPO,Bus.,0.0,0.0,2019-06-16,2019-06-19,170,Wednesday,08:20,6,3.0
