Extraction Day;Calendar day;Flight Number;Sched Airport Depart;Sched Airport Arriva;Load Factor
01/01/2019;01/01/2019;LG-5435;LUX;CPH;69,9 %
01/01/2019;01/01/2019;LG-5436;CPH;LUX;86,3 %
01/01/2019;01/01/2019;LG-5437;LUX;CPH;70,4 %
01/01/2019;01/01/2019;LG-5438;CPH;LUX;80,8 %
02/01/2019;02/01/2019;LG-5433;LUX;CPH;41,1 %
02/01/2019;02/01/2019;LG-5434;CPH;LUX;49,3 %
02/01/2019;02/01/2019;LG-5435;LUX;CPH;49,3 %
02/01/2019;02/01/2019;LG-5436;CPH;LUX;97,3 %
02/01/2019;02/01/2019;LG-5437;LUX;CPH;78,1 %
02/01/2019;02/01/2019;LG-5438;CPH;LUX;97,4 %
03/01/2019;03/01/2019;LG-5433;LUX;CPH;39,7 %
03/01/2019;03/01/2019;LG-5434;CPH;LUX;39,7 %
03/01/2019;03/01/2019;LG-5435;LUX;CPH;32,9 %
03/01/2019;03/01/2019;LG-5436;CPH;LUX;64,4 %
03/01/2019;03/01/2019;LG-5437;LUX;CPH;50,7 %
03/01/2019;03/01/2019;LG-5438;CPH;LUX;65,7 %
04/01/2019;04/01/2019;LG-5433;LUX;CPH;25,4 %
04/01/2019;04/01/2019;LG-5434;CPH;LUX;29,0 %
04/01/2019;04/01/2019;LG-5435;LUX;CPH;24,7 %
04/01/2019;04/01/2019;LG-5436;CPH;LUX;95,9 %
04/01/2019;04/01/2019;LG-5437;LUX;CPH;50,7 %
04/01/2019;04/01/2019;LG-5438;CPH;LUX;85,9 %
06/01/2019;06/01/2019;LG-5435;LUX;CPH;35,6 %
06/01/2019;06/01/2019;LG-5436;CPH;LUX;96,0 %
06/01/2019;06/01/2019;LG-5437;LUX;CPH;88,0 %
06/01/2019;06/01/2019;LG-5438;CPH;LUX;94,7 %
07/01/2019;07/01/2019;LG-5433;LUX;CPH;34,2 %
07/01/2019;07/01/2019;LG-5434;CPH;LUX;54,8 %
07/01/2019;07/01/2019;LG-5435;LUX;CPH;16,4 %
07/01/2019;07/01/2019;LG-5436;CPH;LUX;43,5 %
07/01/2019;07/01/2019;LG-5437;LUX;CPH;39,7 %
07/01/2019;07/01/2019;LG-5438;CPH;LUX;26,8 %
08/01/2019;08/01/2019;LG-5433;LUX;CPH;32,9 %
08/01/2019;08/01/2019;LG-5434;CPH;LUX;67,1 %
08/01/2019;08/01/2019;LG-5435;LUX;CPH;28,8 %
08/01/2019;08/01/2019;LG-5436;CPH;LUX;49,3 %
08/01/2019;08/01/2019;LG-5437;LUX;CPH;37,0 %
08/01/2019;08/01/2019;LG-5438;CPH;LUX;65,8 %
09/01/2019;09/01/2019;LG-5433;LUX;CPH;27,4 %
09/01/2019;09/01/2019;LG-5434;CPH;LUX;26,1 %
