Sched Airport Depart;Sched Airport Arriva;Flight Number;Calendar day;Load Factor;Coupons+YQ in current bookings;Pax total
ARN;LUX;LG-5782;02/01/2017;0,9143;6 588,00 EUR;64 PAX
ARN;LUX;LG-5782;03/01/2017;0,8857;5 832,00 EUR;62 PAX
ARN;LUX;LG-5782;04/01/2017;0,7429;5 459,00 EUR;52 PAX
ARN;LUX;LG-5782;05/01/2017;0,5714;3 470,00 EUR;40 PAX
ARN;LUX;LG-5782;06/01/2017;0,7000;4 516,00 EUR;49 PAX
ARN;LUX;LG-5782;09/01/2017;0,3571;2 593,00 EUR;25 PAX
ARN;LUX;LG-5782;11/01/2017;0,3000;2 036,00 EUR;21 PAX
ARN;LUX;LG-5782;12/01/2017;0,2857;1 947,00 EUR;20 PAX
ARN;LUX;LG-5782;13/01/2017;0,3857;2 757,00 EUR;27 PAX
ARN;LUX;LG-5782;16/01/2017;0,2857;1 946,00 EUR;20 PAX
ARN;LUX;LG-5782;18/01/2017;0,3286;1 752,00 EUR;23 PAX
ARN;LUX;LG-5782;19/01/2017;0,2000;1 438,00 EUR;14 PAX
ARN;LUX;LG-5782;20/01/2017;0,6429;3 878,00 EUR;45 PAX
ARN;LUX;LG-5782;23/01/2017;0,4143;3 562,00 EUR;29 PAX
ARN;LUX;LG-5782;25/01/2017;0,4571;4 043,00 EUR;32 PAX
ARN;LUX;LG-5782;26/01/2017;0,3143;1 783,00 EUR;22 PAX
ARN;LUX;LG-5782;27/01/2017;0,5857;3 813,00 EUR;41 PAX
ARN;LUX;LG-5782;30/01/2017;0,5286;4 882,00 EUR;37 PAX
ARN;LUX;LG-5782;01/02/2017;0,2571;1 644,00 EUR;18 PAX
ARN;LUX;LG-5782;02/02/2017;0,2286;1 341,00 EUR;16 PAX
ARN;LUX;LG-5782;03/02/2017;0,3571;2 641,00 EUR;25 PAX
ARN;LUX;LG-5782;06/02/2017;0,3571;2 669,00 EUR;25 PAX
ARN;LUX;LG-5782;08/02/2017;0,5857;3 910,00 EUR;41 PAX
ARN;LUX;LG-5782;09/02/2017;0,3714;2 513,00 EUR;26 PAX
ARN;LUX;LG-5782;10/02/2017;0,7143;5 246,00 EUR;50 PAX
ARN;LUX;LG-5782;13/02/2017;0,4000;2 889,00 EUR;28 PAX
ARN;LUX;LG-5782;15/02/2017;0,6000;4 272,00 EUR;42 PAX
ARN;LUX;LG-5782;16/02/2017;0,2714;2 037,00 EUR;19 PAX
ARN;LUX;LG-5782;17/02/2017;0,5286;3 080,00 EUR;37 PAX
ARN;LUX;LG-5782;20/02/2017;0,4857;2 999,00 EUR;34 PAX
ARN;LUX;LG-5782;22/02/2017;0,3714;3 269,00 EUR;26 PAX
ARN;LUX;LG-5782;23/02/2017;0,7571;5 013,00 EUR;53 PAX
ARN;LUX;LG-5782;24/02/2017;1,0000;7 539,00 EUR;70 PAX
ARN;LUX;LG-5782;27/02/2017;0,8000;5 134,00 EUR;56 PAX
ARN;LUX;LG-5782;01/03/2017;0,5362;3 934,00 EUR;37 PAX
ARN;LUX;LG-5782;02/03/2017;0,3478;1 855,00 EUR;24 PAX
ARN;LUX;LG-5782;03/03/2017;0,3913;2 400,00 EUR;27 PAX
ARN;LUX;LG-5782;06/03/2017;0,7536;5 764,00 EUR;52 PAX
ARN;LUX;LG-5782;08/03/2017;0,7391;6 713,00 EUR;51 PAX
ARN;LUX;LG-5782;09/03/2017;0,5362;3 532,00 EUR;37 PAX
ARN;LUX;LG-5782;10/03/2017;0,3478;2 359,00 EUR;24 PAX
ARN;LUX;LG-5782;13/03/2017;0,6667;6 014,00 EUR;46 PAX
ARN;LUX;LG-5782;15/03/2017;0,6377;5 048,00 EUR;44 PAX
ARN;LUX;LG-5782;16/03/2017;0,5634;3 188,00 EUR;40 PAX
ARN;LUX;LG-5782;17/03/2017;0,8451;5 938,00 EUR;60 PAX
ARN;LUX;LG-5782;20/03/2017;0,8169;6 198,00 EUR;58 PAX
ARN;LUX;LG-5782;22/03/2017;0,4783;3 974,00 EUR;33 PAX
ARN;LUX;LG-5782;23/03/2017;0,4928;3 403,00 EUR;34 PAX
ARN;LUX;LG-5782;24/03/2017;0,7324;5 798,00 EUR;52 PAX
ARN;LUX;LG-5782;27/03/2017;0,5211;3 442,00 EUR;37 PAX
ARN;LUX;LG-5782;28/03/2017;0,2676;2 325,00 EUR;19 PAX
ARN;LUX;LG-5782;29/03/2017;0,3521;3 720,00 EUR;25 PAX
ARN;LUX;LG-5782;30/03/2017;0,7746;5 702,00 EUR;55 PAX
ARN;LUX;LG-5782;31/03/2017;1,0145;6 987,00 EUR;70 PAX
ARN;LUX;LG-5782;03/04/2017;0,4930;3 761,00 EUR;35 PAX
ARN;LUX;LG-5782;04/04/2017;0,3521;3 499,00 EUR;25 PAX
ARN;LUX;LG-5782;05/04/2017;0,5211;4 132,00 EUR;37 PAX
ARN;LUX;LG-5782;06/04/2017;0,7465;6 602,00 EUR;53 PAX
ARN;LUX;LG-5782;07/04/2017;0,9178;6 940,00 EUR;67 PAX
ARN;LUX;LG-5782;10/04/2017;0,3099;2 612,00 EUR;22 PAX
ARN;LUX;LG-5782;11/04/2017;0,4507;3 468,00 EUR;32 PAX
ARN;LUX;LG-5782;12/04/2017;0,8732;6 000,00 EUR;62 PAX
ARN;LUX;LG-5782;13/04/2017;0,9315;7 004,00 EUR;68 PAX
ARN;LUX;LG-5782;14/04/2017;0,9437;6 960,00 EUR;67 PAX
ARN;LUX;LG-5782;17/04/2017;0,8592;7 633,00 EUR;61 PAX
ARN;LUX;LG-5782;18/04/2017;0,9589;7 053,00 EUR;70 PAX
ARN;LUX;LG-5782;19/04/2017;0,8873;5 067,00 EUR;63 PAX
ARN;LUX;LG-5782;20/04/2017;1,0435;7 818,00 EUR;72 PAX
ARN;LUX;LG-5782;21/04/2017;0,9863;8 267,00 EUR;72 PAX
ARN;LUX;LG-5782;24/04/2017;0,6479;5 673,00 EUR;46 PAX
ARN;LUX;LG-5782;25/04/2017;0,7606;6 199,00 EUR;54 PAX
ARN;LUX;LG-5782;26/04/2017;0,6338;6 497,00 EUR;45 PAX
ARN;LUX;LG-5782;27/04/2017;0,8169;6 068,00 EUR;58 PAX
ARN;LUX;LG-5782;28/04/2017;0,9589;8 331,00 EUR;70 PAX
ARN;LUX;LG-5782;01/05/2017;0,9296;9 404,00 EUR;66 PAX
ARN;LUX;LG-5782;02/05/2017;0,9437;8 150,00 EUR;67 PAX
ARN;LUX;LG-5782;03/05/2017;0,6197;4 536,00 EUR;44 PAX
ARN;LUX;LG-5782;04/05/2017;0,7606;5 550,00 EUR;54 PAX
ARN;LUX;LG-5782;05/05/2017;0,5775;4 723,00 EUR;41 PAX
ARN;LUX;LG-5782;08/05/2017;0,7746;4 817,00 EUR;55 PAX
ARN;LUX;LG-5782;09/05/2017;0,9014;7 043,00 EUR;64 PAX
ARN;LUX;LG-5782;10/05/2017;0,5634;4 380,00 EUR;40 PAX
ARN;LUX;LG-5782;11/05/2017;0,9296;7 104,00 EUR;66 PAX
ARN;LUX;LG-5782;12/05/2017;0,7887;5 706,00 EUR;56 PAX
ARN;LUX;LG-5782;15/05/2017;0,5352;3 797,00 EUR;38 PAX
ARN;LUX;LG-5782;16/05/2017;0,8873;5 920,00 EUR;63 PAX
ARN;LUX;LG-5782;17/05/2017;0,6812;5 987,00 EUR;47 PAX
ARN;LUX;LG-5782;18/05/2017;0,7465;5 541,00 EUR;53 PAX
ARN;LUX;LG-5782;19/05/2017;0,6761;5 000,00 EUR;48 PAX
ARN;LUX;LG-5782;22/05/2017;0,8028;5 690,00 EUR;57 PAX
ARN;LUX;LG-5782;23/05/2017;0,9014;5 755,00 EUR;64 PAX
ARN;LUX;LG-5782;24/05/2017;0,9859;8 944,00 EUR;70 PAX
ARN;LUX;LG-5782;25/05/2017;0,9863;11 298,00 EUR;72 PAX
ARN;LUX;LG-5782;26/05/2017;0,9296;6 645,00 EUR;66 PAX
ARN;LUX;LG-5782;29/05/2017;0,9718;8 764,00 EUR;69 PAX
ARN;LUX;LG-5782;30/05/2017;0,8169;5 832,00 EUR;58 PAX
ARN;LUX;LG-5782;31/05/2017;0,7313;4 714,00 EUR;49 PAX
ARN;LUX;LG-5782;01/06/2017;0,7606;5 274,00 EUR;54 PAX
ARN;LUX;LG-5782;02/06/2017;0,9577;8 135,00 EUR;68 PAX
ARN;LUX;LG-5782;05/06/2017;0,9718;9 138,00 EUR;69 PAX
ARN;LUX;LG-5782;06/06/2017;0,7746;5 126,00 EUR;55 PAX
ARN;LUX;LG-5782;07/06/2017;0,8873;6 649,00 EUR;63 PAX
ARN;LUX;LG-5782;08/06/2017;0,9718;7 918,00 EUR;69 PAX
ARN;LUX;LG-5782;09/06/2017;0,9577;9 246,00 EUR;68 PAX
ARN;LUX;LG-5782;12/06/2017;0,9859;8 415,00 EUR;70 PAX
