Sched Airport Depart;Sched Airport Arriva;Flight Number;Calendar day;Load Factor
ARN;LUX;LG-5782;02/01/2017;0,9143
ARN;LUX;LG-5782;03/01/2017;0,8857
ARN;LUX;LG-5782;04/01/2017;0,7429
ARN;LUX;LG-5782;05/01/2017;0,5714
ARN;LUX;LG-5782;06/01/2017;0,7000
ARN;LUX;LG-5782;09/01/2017;0,3571
ARN;LUX;LG-5782;11/01/2017;0,3000
ARN;LUX;LG-5782;12/01/2017;0,2857
ARN;LUX;LG-5782;13/01/2017;0,3857
ARN;LUX;LG-5782;16/01/2017;0,2857
ARN;LUX;LG-5782;18/01/2017;0,3286
ARN;LUX;LG-5782;19/01/2017;0,2000
ARN;LUX;LG-5782;20/01/2017;0,6429
ARN;LUX;LG-5782;23/01/2017;0,4143
ARN;LUX;LG-5782;25/01/2017;0,4571
ARN;LUX;LG-5782;26/01/2017;0,3143
ARN;LUX;LG-5782;27/01/2017;0,5857
ARN;LUX;LG-5782;30/01/2017;0,5286
ARN;LUX;LG-5782;01/02/2017;0,2571
ARN;LUX;LG-5782;02/02/2017;0,2286
ARN;LUX;LG-5782;03/02/2017;0,3571
ARN;LUX;LG-5782;06/02/2017;0,3571
ARN;LUX;LG-5782;08/02/2017;0,5857
ARN;LUX;LG-5782;09/02/2017;0,3714
ARN;LUX;LG-5782;10/02/2017;0,7143
ARN;LUX;LG-5782;13/02/2017;0,4000
ARN;LUX;LG-5782;15/02/2017;0,6000
ARN;LUX;LG-5782;16/02/2017;0,2714
ARN;LUX;LG-5782;17/02/2017;0,5286
ARN;LUX;LG-5782;20/02/2017;0,4857
ARN;LUX;LG-5782;22/02/2017;0,3714
ARN;LUX;LG-5782;23/02/2017;0,7571
ARN;LUX;LG-5782;24/02/2017;1,0000
ARN;LUX;LG-5782;27/02/2017;0,8000
ARN;LUX;LG-5782;01/03/2017;0,5362
ARN;LUX;LG-5782;02/03/2017;0,3478
ARN;LUX;LG-5782;03/03/2017;0,3913
ARN;LUX;LG-5782;06/03/2017;0,7536
ARN;LUX;LG-5782;08/03/2017;0,7391
ARN;LUX;LG-5782;09/03/2017;0,5362
ARN;LUX;LG-5782;10/03/2017;0,3478
ARN;LUX;LG-5782;13/03/2017;0,6667
ARN;LUX;LG-5782;15/03/2017;0,6377
ARN;LUX;LG-5782;16/03/2017;0,5634
ARN;LUX;LG-5782;17/03/2017;0,8451
ARN;LUX;LG-5782;20/03/2017;0,8169
ARN;LUX;LG-5782;22/03/2017;0,4783
ARN;LUX;LG-5782;23/03/2017;0,4928
ARN;LUX;LG-5782;24/03/2017;0,7324
ARN;LUX;LG-5782;27/03/2017;0,5211
ARN;LUX;LG-5782;28/03/2017;0,2676
ARN;LUX;LG-5782;29/03/2017;0,3521
ARN;LUX;LG-5782;30/03/2017;0,7746
ARN;LUX;LG-5782;31/03/2017;1,0145
ARN;LUX;LG-5782;03/04/2017;0,4930
ARN;LUX;LG-5782;04/04/2017;0,3521
ARN;LUX;LG-5782;05/04/2017;0,5211
ARN;LUX;LG-5782;06/04/2017;0,7465
ARN;LUX;LG-5782;07/04/2017;0,9178
ARN;LUX;LG-5782;10/04/2017;0,3099
ARN;LUX;LG-5782;11/04/2017;0,4507
ARN;LUX;LG-5782;12/04/2017;0,8732
ARN;LUX;LG-5782;13/04/2017;0,9315
ARN;LUX;LG-5782;14/04/2017;0,9437
ARN;LUX;LG-5782;17/04/2017;0,8592
ARN;LUX;LG-5782;18/04/2017;0,9589
ARN;LUX;LG-5782;19/04/2017;0,8873
ARN;LUX;LG-5782;20/04/2017;1,0435
ARN;LUX;LG-5782;21/04/2017;0,9863
ARN;LUX;LG-5782;24/04/2017;0,6479
ARN;LUX;LG-5782;25/04/2017;0,7606
ARN;LUX;LG-5782;26/04/2017;0,6338
ARN;LUX;LG-5782;27/04/2017;0,8169
ARN;LUX;LG-5782;28/04/2017;0,9589
ARN;LUX;LG-5782;01/05/2017;0,9296
ARN;LUX;LG-5782;02/05/2017;0,9437
ARN;LUX;LG-5782;03/05/2017;0,6197
ARN;LUX;LG-5782;04/05/2017;0,7606
ARN;LUX;LG-5782;05/05/2017;0,5775
ARN;LUX;LG-5782;08/05/2017;0,7746
ARN;LUX;LG-5782;09/05/2017;0,9014
ARN;LUX;LG-5782;10/05/2017;0,5634
ARN;LUX;LG-5782;11/05/2017;0,9296
ARN;LUX;LG-5782;12/05/2017;0,7887
ARN;LUX;LG-5782;15/05/2017;0,5352
ARN;LUX;LG-5782;16/05/2017;0,8873
ARN;LUX;LG-5782;17/05/2017;0,6812
ARN;LUX;LG-5782;18/05/2017;0,7465
ARN;LUX;LG-5782;19/05/2017;0,6761
ARN;LUX;LG-5782;22/05/2017;0,8028
ARN;LUX;LG-5782;23/05/2017;0,9014
ARN;LUX;LG-5782;24/05/2017;0,9859
ARN;LUX;LG-5782;25/05/2017;0,9863
ARN;LUX;LG-5782;26/05/2017;0,9296
ARN;LUX;LG-5782;29/05/2017;0,9718
ARN;LUX;LG-5782;30/05/2017;0,8169
ARN;LUX;LG-5782;31/05/2017;0,7313
ARN;LUX;LG-5782;01/06/2017;0,7606
ARN;LUX;LG-5782;02/06/2017;0,9577
ARN;LUX;LG-5782;05/06/2017;0,9718
ARN;LUX;LG-5782;06/06/2017;0,7746
ARN;LUX;LG-5782;07/06/2017;0,8873
ARN;LUX;LG-5782;08/06/2017;0,9718
ARN;LUX;LG-5782;09/06/2017;0,9577
ARN;LUX;LG-5782;12/06/2017;0,9859
ARN;LUX;LG-5782;13/06/2017;0,7183
ARN;LUX;LG-5782;14/06/2017;0,7465
ARN;LUX;LG-5782;15/06/2017;0,9014
ARN;LUX;LG-5782;16/06/2017;0,8493
ARN;LUX;LG-5782;19/06/2017;1,0000
ARN;LUX;LG-5782;20/06/2017;0,9452
ARN;LUX;LG-5782;21/06/2017;0,8310
ARN;LUX;LG-5782;22/06/2017;0,9859
ARN;LUX;LG-5782;23/06/2017;0,9041
ARN;LUX;LG-5782;26/06/2017;1,0000
ARN;LUX;LG-5782;27/06/2017;0,9718
ARN;LUX;LG-5782;28/06/2017;0,8310
ARN;LUX;LG-5782;29/06/2017;0,6901
ARN;LUX;LG-5782;30/06/2017;0,9718
ARN;LUX;LG-5782;03/07/2017;0,8451
ARN;LUX;LG-5782;04/07/2017;0,7746
ARN;LUX;LG-5782;05/07/2017;0,6901
ARN;LUX;LG-5782;06/07/2017;0,6957
ARN;LUX;LG-5782;07/07/2017;0,9014
ARN;LUX;LG-5782;10/07/2017;0,6479
ARN;LUX;LG-5782;11/07/2017;0,5493
ARN;LUX;LG-5782;12/07/2017;0,4366
ARN;LUX;LG-5782;13/07/2017;0,6056
ARN;LUX;LG-5782;14/07/2017;0,9155
ARN;LUX;LG-5782;15/07/2017;0,8947
ARN;LUX;LG-5782;17/07/2017;0,8310
ARN;LUX;LG-5782;18/07/2017;0,5493
ARN;LUX;LG-5782;19/07/2017;0,5493
ARN;LUX;LG-5782;20/07/2017;0,8451
ARN;LUX;LG-5782;21/07/2017;0,8451
ARN;LUX;LG-5782;24/07/2017;0,7887
ARN;LUX;LG-5782;25/07/2017;0,7183
ARN;LUX;LG-5782;26/07/2017;0,5634
ARN;LUX;LG-5782;27/07/2017;0,8310
ARN;LUX;LG-5782;28/07/2017;0,9155
ARN;LUX;LG-5782;31/07/2017;0,9014
ARN;LUX;LG-5782;01/08/2017;0,8451
ARN;LUX;LG-5782;02/08/2017;0,8873
ARN;LUX;LG-5782;03/08/2017;0,9437
ARN;LUX;LG-5782;04/08/2017;0,8310
ARN;LUX;LG-5782;07/08/2017;0,9589
ARN;LUX;LG-5782;08/08/2017;0,9155
ARN;LUX;LG-5782;09/08/2017;0,5634
ARN;LUX;LG-5782;10/08/2017;0,6620
ARN;LUX;LG-5782;11/08/2017;0,7042
ARN;LUX;LG-5782;14/08/2017;0,9296
ARN;LUX;LG-5782;15/08/2017;0,9296
ARN;LUX;LG-5782;16/08/2017;0,8873
ARN;LUX;LG-5782;17/08/2017;0,8873
ARN;LUX;LG-5782;18/08/2017;0,6901
ARN;LUX;LG-5782;21/08/2017;1,0000
ARN;LUX;LG-5782;22/08/2017;0,9296
ARN;LUX;LG-5782;23/08/2017;0,8873
ARN;LUX;LG-5782;24/08/2017;0,9714
ARN;LUX;LG-5782;25/08/2017;0,9014
ARN;LUX;LG-5782;28/08/2017;0,8451
ARN;LUX;LG-5782;29/08/2017;0,7746
ARN;LUX;LG-5782;30/08/2017;0,8310
ARN;LUX;LG-5782;31/08/2017;0,8028
ARN;LUX;LG-5782;01/09/2017;0,9178
ARN;LUX;LG-5782;04/09/2017;0,8873
ARN;LUX;LG-5782;05/09/2017;0,6056
ARN;LUX;LG-5782;06/09/2017;0,6197
ARN;LUX;LG-5782;07/09/2017;0,8873
ARN;LUX;LG-5782;08/09/2017;0,7887
ARN;LUX;LG-5782;11/09/2017;0,7042
ARN;LUX;LG-5782;12/09/2017;0,6056
ARN;LUX;LG-5782;13/09/2017;0,8592
ARN;LUX;LG-5782;14/09/2017;1,0000
ARN;LUX;LG-5782;15/09/2017;0,9577
ARN;LUX;LG-5782;18/09/2017;0,9014
ARN;LUX;LG-5782;19/09/2017;0,4366
ARN;LUX;LG-5782;20/09/2017;0,6338
ARN;LUX;LG-5782;21/09/2017;0,9589
ARN;LUX;LG-5782;22/09/2017;0,9718
ARN;LUX;LG-5782;25/09/2017;0,8028
ARN;LUX;LG-5782;26/09/2017;0,3380
ARN;LUX;LG-5782;27/09/2017;0,5634
ARN;LUX;LG-5782;28/09/2017;0,8310
ARN;LUX;LG-5782;29/09/2017;0,7324
ARN;LUX;LG-5782;02/10/2017;0,5493
ARN;LUX;LG-5782;03/10/2017;0,7465
ARN;LUX;LG-5782;04/10/2017;0,4930
ARN;LUX;LG-5782;05/10/2017;0,5211
ARN;LUX;LG-5782;06/10/2017;1,0000
ARN;LUX;LG-5782;09/10/2017;0,7746
ARN;LUX;LG-5782;10/10/2017;0,6197
ARN;LUX;LG-5782;11/10/2017;0,8986
ARN;LUX;LG-5782;12/10/2017;0,8451
ARN;LUX;LG-5782;13/10/2017;0,8592
ARN;LUX;LG-5782;16/10/2017;0,6056
ARN;LUX;LG-5782;17/10/2017;0,4085
ARN;LUX;LG-5782;18/10/2017;0,4930
ARN;LUX;LG-5782;19/10/2017;0,5915
ARN;LUX;LG-5782;20/10/2017;0,5775
ARN;LUX;LG-5782;23/10/2017;0,4930
ARN;LUX;LG-5782;24/10/2017;0,6716
ARN;LUX;LG-5782;25/10/2017;0,3662
ARN;LUX;LG-5782;26/10/2017;0,6056
ARN;LUX;LG-5782;27/10/2017;0,8028
ARN;LUX;LG-5782;30/10/2017;0,4085
ARN;LUX;LG-5782;31/10/2017;0,6761
ARN;LUX;LG-5782;01/11/2017;0,8169
ARN;LUX;LG-5782;02/11/2017;0,9014
ARN;LUX;LG-5782;03/11/2017;0,8873
ARN;LUX;LG-5782;06/11/2017;0,8310
ARN;LUX;LG-5782;07/11/2017;0,4930
ARN;LUX;LG-5782;08/11/2017;0,6479
ARN;LUX;LG-5782;09/11/2017;0,6338
ARN;LUX;LG-5782;10/11/2017;0,7465
ARN;LUX;LG-5782;13/11/2017;0,6056
ARN;LUX;LG-5782;14/11/2017;0,4648
ARN;LUX;LG-5782;15/11/2017;0,4789
ARN;LUX;LG-5782;16/11/2017;0,4366
ARN;LUX;LG-5782;17/11/2017;0,6901
ARN;LUX;LG-5782;20/11/2017;0,5634
ARN;LUX;LG-5782;21/11/2017;0,2958
ARN;LUX;LG-5782;22/11/2017;0,6338
ARN;LUX;LG-5782;23/11/2017;0,8028
ARN;LUX;LG-5782;24/11/2017;0,6479
ARN;LUX;LG-5782;27/11/2017;0,3521
ARN;LUX;LG-5782;28/11/2017;0,3803
ARN;LUX;LG-5782;29/11/2017;0,7746
ARN;LUX;LG-5782;30/11/2017;0,5915
ARN;LUX;LG-5782;01/12/2017;0,8451
ARN;LUX;LG-5782;04/12/2017;0,6479
ARN;LUX;LG-5782;05/12/2017;0,4930
ARN;LUX;LG-5782;06/12/2017;0,7465
ARN;LUX;LG-5782;07/12/2017;0,5775
ARN;LUX;LG-5782;08/12/2017;0,7746
ARN;LUX;LG-5782;11/12/2017;0,8028
ARN;LUX;LG-5782;12/12/2017;0,2817
ARN;LUX;LG-5782;13/12/2017;0,2958
ARN;LUX;LG-5782;14/12/2017;0,5070
ARN;LUX;LG-5782;15/12/2017;1,0141
ARN;LUX;LG-5782;18/12/2017;0,3521
ARN;LUX;LG-5782;19/12/2017;0,7391
ARN;LUX;LG-5782;20/12/2017;0,8873
ARN;LUX;LG-5782;21/12/2017;0,8933
ARN;LUX;LG-5782;22/12/2017;0,9859
ARN;LUX;LG-5782;25/12/2017;0,2958
ARN;LUX;LG-5782;26/12/2017;0,7324
ARN;LUX;LG-5782;27/12/2017;0,8873
ARN;LUX;LG-5782;28/12/2017;0,9155
ARN;LUX;LG-5782;29/12/2017;0,9718
ARN;LUX;LG-5784;29/10/2017;0,7183
ARN;LUX;LG-5784;05/11/2017;0,9718
ARN;LUX;LG-5784;12/11/2017;0,7465
ARN;LUX;LG-5784;19/11/2017;0,8310
ARN;LUX;LG-5784;26/11/2017;0,4366
ARN;LUX;LG-5784;03/12/2017;0,8592
ARN;LUX;LG-5784;10/12/2017;0,7465
ARN;LUX;LG-5784;17/12/2017;0,5493
ARN;LUX;LG-5786;01/01/2017;0,9286
ARN;LUX;LG-5786;08/01/2017;0,9000
ARN;LUX;LG-5786;15/01/2017;0,4143
ARN;LUX;LG-5786;22/01/2017;0,4714
ARN;LUX;LG-5786;29/01/2017;0,5714
ARN;LUX;LG-5786;05/02/2017;0,3714
ARN;LUX;LG-5786;12/02/2017;0,4286
ARN;LUX;LG-5786;19/02/2017;0,8286
ARN;LUX;LG-5786;26/02/2017;0,9571
ARN;LUX;LG-5786;05/03/2017;0,8592
ARN;LUX;LG-5786;12/03/2017;0,6667
ARN;LUX;LG-5786;19/03/2017;0,7746
ARN;LUX;LG-5786;26/03/2017;0,7465
ARN;LUX;LG-5786;02/04/2017;0,7887
ARN;LUX;LG-5786;09/04/2017;0,7183
ARN;LUX;LG-5786;16/04/2017;0,9014
ARN;LUX;LG-5786;23/04/2017;1,0423
ARN;LUX;LG-5786;30/04/2017;0,9014
ARN;LUX;LG-5786;07/05/2017;0,9577
ARN;LUX;LG-5786;14/05/2017;0,9718
ARN;LUX;LG-5786;21/05/2017;0,9437
ARN;LUX;LG-5786;28/05/2017;1,0000
ARN;LUX;LG-5786;04/06/2017;0,8451
ARN;LUX;LG-5786;11/06/2017;0,9859
ARN;LUX;LG-5786;18/06/2017;1,0000
ARN;LUX;LG-5786;25/06/2017;0,9014
ARN;LUX;LG-5786;02/07/2017;0,9041
ARN;LUX;LG-5786;09/07/2017;0,9155
ARN;LUX;LG-5786;16/07/2017;0,8873
ARN;LUX;LG-5786;23/07/2017;0,8732
ARN;LUX;LG-5786;30/07/2017;0,9589
ARN;LUX;LG-5786;06/08/2017;0,9315
ARN;LUX;LG-5786;13/08/2017;0,9155
ARN;LUX;LG-5786;20/08/2017;0,9859
ARN;LUX;LG-5786;27/08/2017;0,9718
ARN;LUX;LG-5786;03/09/2017;0,9859
ARN;LUX;LG-5786;10/09/2017;0,9859
ARN;LUX;LG-5786;17/09/2017;0,9859
ARN;LUX;LG-5786;24/09/2017;0,9718
ARN;LUX;LG-5786;01/10/2017;0,8592
ARN;LUX;LG-5786;08/10/2017;0,8800
ARN;LUX;LG-5786;15/10/2017;1,0000
ARN;LUX;LG-5786;22/10/2017;0,7971
ARN;LUX;LG-5786;24/12/2017;0,6479
ARN;LUX;LG-5786;31/12/2017;0,7324
ARN;LUX;LG-5788;01/04/2017;0,2394
ARN;LUX;LG-5788;08/04/2017;0,5915
ARN;LUX;LG-5788;15/04/2017;0,6620
ARN;LUX;LG-5788;22/04/2017;0,8873
ARN;LUX;LG-5788;29/04/2017;0,7183
ARN;LUX;LG-5788;06/05/2017;0,2676
ARN;LUX;LG-5788;13/05/2017;0,3239
ARN;LUX;LG-5788;20/05/2017;0,4648
ARN;LUX;LG-5788;27/05/2017;0,6761
ARN;LUX;LG-5788;03/06/2017;0,9589
ARN;LUX;LG-5788;10/06/2017;0,9577
ARN;LUX;LG-5788;17/06/2017;0,8873
ARN;LUX;LG-5788;24/06/2017;0,7183
ARN;LUX;LG-5788;01/07/2017;0,9014
ARN;LUX;LG-5788;08/07/2017;0,5915
ARN;LUX;LG-5788;22/07/2017;0,5915
ARN;LUX;LG-5788;29/07/2017;0,8873
ARN;LUX;LG-5788;05/08/2017;0,8451
ARN;LUX;LG-5788;12/08/2017;0,7714
ARN;LUX;LG-5788;19/08/2017;0,9296
ARN;LUX;LG-5788;26/08/2017;0,8592
ARN;LUX;LG-5788;02/09/2017;0,9296
ARN;LUX;LG-5788;09/09/2017;0,4507
ARN;LUX;LG-5788;16/09/2017;0,4648
ARN;LUX;LG-5788;23/09/2017;0,4789
ARN;LUX;LG-5788;30/09/2017;0,4085
ARN;LUX;LG-5788;07/10/2017;0,4789
ARN;LUX;LG-5788;14/10/2017;0,4789
ARN;LUX;LG-5788;21/10/2017;0,2254
ARN;LUX;LG-5788;28/10/2017;0,6761
BCN;LUX;LG-3582;09/04/2017;0,7671
BCN;LUX;LG-3592;02/01/2017;0,9605
BCN;LUX;LG-3592;03/01/2017;0,9342
BCN;LUX;LG-3592;04/01/2017;1,0263
BCN;LUX;LG-3592;05/01/2017;0,9868
BCN;LUX;LG-3592;06/01/2017;0,9868
BCN;LUX;LG-3592;07/01/2017;0,9737
