Extraction Day;Calendar day;Flight Number;Sched Airport Depart;Sched Airport Arriva;Load Factor
01/06/2018;01/06/2018;LG-5431;LUX;CPH;71,2 %
01/06/2018;01/06/2018;LG-5432;CPH;LUX;72,6 %
01/06/2018;01/06/2018;LG-5433;LUX;CPH;94,5 %
01/06/2018;01/06/2018;LG-5434;CPH;LUX;83,6 %
01/06/2018;01/06/2018;LG-5435;LUX;CPH;95,9 %
01/06/2018;01/06/2018;LG-5436;CPH;LUX;86,3 %
02/06/2018;02/06/2018;LG-5433;LUX;CPH;76,7 %
02/06/2018;02/06/2018;LG-5434;CPH;LUX;63,0 %
03/06/2018;03/06/2018;LG-5431;LUX;CPH;56,2 %
03/06/2018;03/06/2018;LG-5432;CPH;LUX;101,4 %
03/06/2018;03/06/2018;LG-5435;LUX;CPH;76,7 %
03/06/2018;03/06/2018;LG-5436;CPH;LUX;100,0 %
04/06/2018;04/06/2018;LG-5431;LUX;CPH;31,5 %
04/06/2018;04/06/2018;LG-5432;CPH;LUX;95,9 %
04/06/2018;04/06/2018;LG-5433;LUX;CPH;60,3 %
04/06/2018;04/06/2018;LG-5434;CPH;LUX;98,6 %
04/06/2018;04/06/2018;LG-5435;LUX;CPH;52,1 %
04/06/2018;04/06/2018;LG-5436;CPH;LUX;97,3 %
05/06/2018;05/06/2018;LG-5431;LUX;CPH;43,8 %
05/06/2018;05/06/2018;LG-5432;CPH;LUX;60,3 %
05/06/2018;05/06/2018;LG-5433;LUX;CPH;33,8 %
05/06/2018;05/06/2018;LG-5434;CPH;LUX;42,3 %
05/06/2018;05/06/2018;LG-5435;LUX;CPH;73,2 %
05/06/2018;05/06/2018;LG-5436;CPH;LUX;77,5 %
06/06/2018;06/06/2018;LG-5431;LUX;CPH;43,7 %
06/06/2018;06/06/2018;LG-5432;CPH;LUX;55,2 %
06/06/2018;06/06/2018;LG-5433;LUX;CPH;60,3 %
06/06/2018;06/06/2018;LG-5434;CPH;LUX;73,2 %
06/06/2018;06/06/2018;LG-5435;LUX;CPH;94,5 %
06/06/2018;06/06/2018;LG-5436;CPH;LUX;42,3 %
07/06/2018;07/06/2018;LG-5431;LUX;CPH;47,9 %
07/06/2018;07/06/2018;LG-5432;CPH;LUX;43,8 %
07/06/2018;07/06/2018;LG-5433;LUX;CPH;58,9 %
07/06/2018;07/06/2018;LG-5434;CPH;LUX;52,1 %
07/06/2018;07/06/2018;LG-5435;LUX;CPH;94,5 %
07/06/2018;07/06/2018;LG-5436;CPH;LUX;91,8 %
08/06/2018;08/06/2018;LG-5431;LUX;CPH;90,4 %
08/06/2018;08/06/2018;LG-5432;CPH;LUX;58,9 %
