Extraction Day;Calendar day;Flight Number;Sched Airport Depart;Sched Airport Arriva;Load Factor
01/03/2018;01/03/2018;LG-5433;LUX;CPH;57,5 %
01/03/2018;01/03/2018;LG-5434;CPH;LUX;36,6 %
01/03/2018;01/03/2018;LG-5435;LUX;CPH;73,2 %
01/03/2018;01/03/2018;LG-5436;CPH;LUX;54,9 %
02/03/2018;02/03/2018;LG-5433;LUX;CPH;58,9 %
02/03/2018;02/03/2018;LG-5434;CPH;LUX;46,5 %
02/03/2018;02/03/2018;LG-5435;LUX;CPH;71,2 %
02/03/2018;02/03/2018;LG-5436;CPH;LUX;58,9 %
02/03/2018;02/03/2018;LG-5437;LUX;CPH;58,9 %
02/03/2018;02/03/2018;LG-5438;CPH;LUX;47,9 %
04/03/2018;04/03/2018;LG-5435;LUX;CPH;34,2 %
04/03/2018;04/03/2018;LG-5436;CPH;LUX;71,2 %
04/03/2018;04/03/2018;LG-5437;LUX;CPH;31,5 %
04/03/2018;04/03/2018;LG-5438;CPH;LUX;56,2 %
05/03/2018;05/03/2018;LG-5433;LUX;CPH;67,1 %
05/03/2018;05/03/2018;LG-5434;CPH;LUX;62,0 %
05/03/2018;05/03/2018;LG-5435;LUX;CPH;49,3 %
05/03/2018;05/03/2018;LG-5436;CPH;LUX;61,6 %
05/03/2018;05/03/2018;LG-5437;LUX;CPH;39,4 %
05/03/2018;05/03/2018;LG-5438;CPH;LUX;40,8 %
06/03/2018;06/03/2018;LG-5433;LUX;CPH;23,9 %
06/03/2018;06/03/2018;LG-5434;CPH;LUX;25,0 %
06/03/2018;06/03/2018;LG-5435;LUX;CPH;46,5 %
06/03/2018;06/03/2018;LG-5436;CPH;LUX;62,0 %
07/03/2018;07/03/2018;LG-5433;LUX;CPH;57,5 %
07/03/2018;07/03/2018;LG-5434;CPH;LUX;49,3 %
07/03/2018;07/03/2018;LG-5435;LUX;CPH;94,4 %
07/03/2018;07/03/2018;LG-5436;CPH;LUX;95,9 %
08/03/2018;08/03/2018;LG-5433;LUX;CPH;52,1 %
08/03/2018;08/03/2018;LG-5434;CPH;LUX;47,9 %
08/03/2018;08/03/2018;LG-5435;LUX;CPH;72,6 %
08/03/2018;08/03/2018;LG-5436;CPH;LUX;69,6 %
09/03/2018;09/03/2018;LG-5433;LUX;CPH;53,4 %
09/03/2018;09/03/2018;LG-5434;CPH;LUX;58,9 %
09/03/2018;09/03/2018;LG-5435;LUX;CPH;79,5 %
09/03/2018;09/03/2018;LG-5436;CPH;LUX;76,7 %
09/03/2018;09/03/2018;LG-5437;LUX;CPH;38,0 %
09/03/2018;09/03/2018;LG-5438;CPH;LUX;46,6 %
11/03/2018;11/03/2018;LG-5435;LUX;CPH;43,8 %
11/03/2018;11/03/2018;LG-5436;CPH;LUX;52,1 %
11/03/2018;11/03/2018;LG-5437;LUX;CPH;35,6 %
11/03/2018;11/03/2018;LG-5438;CPH;LUX;83,1 %
12/03/2018;12/03/2018;LG-5433;LUX;CPH;56,2 %
12/03/2018;12/03/2018;LG-5434;CPH;LUX;68,5 %
12/03/2018;12/03/2018;LG-5435;LUX;CPH;35,2 %
12/03/2018;12/03/2018;LG-5436;CPH;LUX;45,1 %
12/03/2018;12/03/2018;LG-5437;LUX;CPH;38,0 %
12/03/2018;12/03/2018;LG-5438;CPH;LUX;54,9 %
13/03/2018;13/03/2018;LG-5433;LUX;CPH;54,8 %
13/03/2018;13/03/2018;LG-5434;CPH;LUX;61,6 %
13/03/2018;13/03/2018;LG-5435;LUX;CPH;97,2 %
13/03/2018;13/03/2018;LG-5436;CPH;LUX;67,6 %
14/03/2018;14/03/2018;LG-5433;LUX;CPH;52,1 %
14/03/2018;14/03/2018;LG-5434;CPH;LUX;54,8 %
14/03/2018;14/03/2018;LG-5435;LUX;CPH;100,0 %
14/03/2018;14/03/2018;LG-5436;CPH;LUX;100,0 %
15/03/2018;15/03/2018;LG-5433;LUX;CPH;82,2 %
15/03/2018;15/03/2018;LG-5434;CPH;LUX;71,2 %
15/03/2018;15/03/2018;LG-5435;LUX;CPH;94,5 %
15/03/2018;15/03/2018;LG-5436;CPH;LUX;91,8 %
16/03/2018;16/03/2018;LG-5433;LUX;CPH;69,9 %
16/03/2018;16/03/2018;LG-5434;CPH;LUX;49,3 %
16/03/2018;16/03/2018;LG-5435;LUX;CPH;98,6 %
16/03/2018;16/03/2018;LG-5436;CPH;LUX;95,9 %
16/03/2018;16/03/2018;LG-5437;LUX;CPH;93,2 %
16/03/2018;16/03/2018;LG-5438;CPH;LUX;83,6 %
18/03/2018;18/03/2018;LG-5435;LUX;CPH;94,5 %
18/03/2018;18/03/2018;LG-5436;CPH;LUX;78,1 %
18/03/2018;18/03/2018;LG-5437;LUX;CPH;60,3 %
18/03/2018;18/03/2018;LG-5438;CPH;LUX;74,0 %
19/03/2018;19/03/2018;LG-5433;LUX;CPH;60,3 %
19/03/2018;19/03/2018;LG-5434;CPH;LUX;56,3 %
19/03/2018;19/03/2018;LG-5435;LUX;CPH;81,7 %
19/03/2018;19/03/2018;LG-5436;CPH;LUX;54,8 %
19/03/2018;19/03/2018;LG-5437;LUX;CPH;49,3 %
19/03/2018;19/03/2018;LG-5438;CPH;LUX;49,3 %
20/03/2018;20/03/2018;LG-5433;LUX;CPH;49,3 %
20/03/2018;20/03/2018;LG-5434;CPH;LUX;74,0 %
20/03/2018;20/03/2018;LG-5435;LUX;CPH;100,0 %
20/03/2018;20/03/2018;LG-5436;CPH;LUX;100,0 %
21/03/2018;21/03/2018;LG-5433;LUX;CPH;60,3 %
21/03/2018;21/03/2018;LG-5434;CPH;LUX;60,3 %
21/03/2018;21/03/2018;LG-5435;LUX;CPH;97,3 %
21/03/2018;21/03/2018;LG-5436;CPH;LUX;80,6 %
22/03/2018;22/03/2018;LG-5433;LUX;CPH;60,3 %
22/03/2018;22/03/2018;LG-5434;CPH;LUX;47,9 %
22/03/2018;22/03/2018;LG-5435;LUX;CPH;100,0 %
22/03/2018;22/03/2018;LG-5436;CPH;LUX;78,1 %
