Extraction Day;Calendar day;Flight Number;Sched Airport Depart;Sched Airport Arriva;Load Factor
01/10/2018;01/10/2018;LG-5431;LUX;CPH;54,9 %
01/10/2018;01/10/2018;LG-5432;CPH;LUX;65,8 %
01/10/2018;01/10/2018;LG-5433;LUX;CPH;61,6 %
01/10/2018;01/10/2018;LG-5434;CPH;LUX;71,8 %
01/10/2018;01/10/2018;LG-5435;LUX;CPH;37,7 %
01/10/2018;01/10/2018;LG-5436;CPH;LUX;61,6 %
02/10/2018;02/10/2018;LG-5431;LUX;CPH;43,8 %
02/10/2018;02/10/2018;LG-5432;CPH;LUX;43,3 %
02/10/2018;02/10/2018;LG-5433;LUX;CPH;32,9 %
02/10/2018;02/10/2018;LG-5434;CPH;LUX;39,7 %
02/10/2018;02/10/2018;LG-5435;LUX;CPH;69,6 %
02/10/2018;02/10/2018;LG-5436;CPH;LUX;49,3 %
03/10/2018;03/10/2018;LG-5431;LUX;CPH;35,6 %
03/10/2018;03/10/2018;LG-5432;CPH;LUX;45,2 %
03/10/2018;03/10/2018;LG-5433;LUX;CPH;58,9 %
03/10/2018;03/10/2018;LG-5434;CPH;LUX;40,0 %
03/10/2018;03/10/2018;LG-5435;LUX;CPH;85,1 %
03/10/2018;03/10/2018;LG-5436;CPH;LUX;38,4 %
04/10/2018;04/10/2018;LG-5431;LUX;CPH;47,9 %
04/10/2018;04/10/2018;LG-5432;CPH;LUX;68,5 %
04/10/2018;04/10/2018;LG-5433;LUX;CPH;37,0 %
04/10/2018;04/10/2018;LG-5434;CPH;LUX;33,3 %
04/10/2018;04/10/2018;LG-5435;LUX;CPH;97,1 %
04/10/2018;04/10/2018;LG-5436;CPH;LUX;74,0 %
05/10/2018;05/10/2018;LG-5431;LUX;CPH;80,8 %
05/10/2018;05/10/2018;LG-5432;CPH;LUX;53,4 %
05/10/2018;05/10/2018;LG-5433;LUX;CPH;68,5 %
05/10/2018;05/10/2018;LG-5434;CPH;LUX;43,7 %
05/10/2018;05/10/2018;LG-5435;LUX;CPH;76,1 %
05/10/2018;05/10/2018;LG-5436;CPH;LUX;56,2 %
06/10/2018;06/10/2018;LG-5433;LUX;CPH;37,0 %
06/10/2018;06/10/2018;LG-5434;CPH;LUX;24,7 %
07/10/2018;07/10/2018;LG-5431;LUX;CPH;83,6 %
07/10/2018;07/10/2018;LG-5432;CPH;LUX;95,8 %
07/10/2018;07/10/2018;LG-5435;LUX;CPH;65,8 %
07/10/2018;07/10/2018;LG-5436;CPH;LUX;93,2 %
08/10/2018;08/10/2018;LG-5431;LUX;CPH;32,9 %
08/10/2018;08/10/2018;LG-5432;CPH;LUX;63,0 %
08/10/2018;08/10/2018;LG-5433;LUX;CPH;56,2 %
08/10/2018;08/10/2018;LG-5434;CPH;LUX;76,7 %
08/10/2018;08/10/2018;LG-5435;LUX;CPH;24,7 %
08/10/2018;08/10/2018;LG-5436;CPH;LUX;53,4 %
09/10/2018;09/10/2018;LG-5431;LUX;CPH;42,5 %
09/10/2018;09/10/2018;LG-5432;CPH;LUX;52,1 %
09/10/2018;09/10/2018;LG-5433;LUX;CPH;54,8 %
09/10/2018;09/10/2018;LG-5434;CPH;LUX;67,1 %
09/10/2018;09/10/2018;LG-5435;LUX;CPH;98,6 %
09/10/2018;09/10/2018;LG-5436;CPH;LUX;44,9 %
10/10/2018;10/10/2018;LG-5431;LUX;CPH;37,0 %
10/10/2018;10/10/2018;LG-5432;CPH;LUX;61,6 %
10/10/2018;10/10/2018;LG-5435;LUX;CPH;94,5 %
10/10/2018;10/10/2018;LG-5436;CPH;LUX;66,2 %
11/10/2018;11/10/2018;LG-5431;LUX;CPH;58,9 %
11/10/2018;11/10/2018;LG-5432;CPH;LUX;46,6 %
11/10/2018;11/10/2018;LG-5435;LUX;CPH;93,0 %
