Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-BRI,2019-05-24,6407,11:45,O,May,Friday,0.0,17.5638670600176,-21.0,0.0
LUX-BRI,2019-05-24,6408,14:35,I,May,Friday,0.9999999999999991,-14.822111024065293,-69.0,0.0
LUX-BRI,2019-05-26,6407,12:50,O,May,Sunday,0.0,27.134286816105018,-36.0,0.0
LUX-BRI,2019-05-26,6408,14:55,I,May,Sunday,1.0,-27.725698200725944,-58.0,0.0
LUX-BRI,2019-05-28,6407,11:45,O,May,Tuesday,0.46146191364936806,1.004002336323623,-33.0,0.0
LUX-BRI,2019-05-28,6408,14:35,I,May,Tuesday,0.9999999999999996,-21.09999999999991,-57.0,0.0
LUX-BRI,2019-05-31,6407,11:45,O,May,Friday,0.0,31.342647080867877,-20.0,1.6030426343460746e-05
LUX-BRI,2019-05-31,6408,14:35,I,May,Friday,0.0,48.85564274681555,-1.0,0.7975900037456389
LUX-BRI,2019-06-02,6407,12:50,O,June,Sunday,0.9999999999063862,-17.0,-21.0,4.0388103972333056e-10
LUX-BRI,2019-06-02,6408,14:55,I,June,Sunday,0.9994215787267707,-9.0,-15.0,0.0012397703643189928
LUX-BRI,2019-06-04,6407,11:45,O,June,Tuesday,0.9999272391664388,-10.844498642548388,-46.0,0.0
LUX-BRI,2019-06-04,6408,14:35,I,June,Tuesday,0.9851869316397833,-4.197982339155558,-59.0,0.0
LUX-BRI,2019-06-07,6407,11:45,O,June,Friday,0.0,52.46300270906116,3.0,0.964469840038471
LUX-BRI,2019-06-07,6408,14:35,I,June,Friday,0.0034195441211559673,10.063486862931967,-48.0,4.9960036108132044e-15
LUX-BRI,2019-06-09,6407,12:50,O,June,Sunday,0.7550084091155085,0.12041399398997044,-24.0,2.569162587662266e-05
LUX-BRI,2019-06-09,6408,14:55,I,June,Sunday,1.0,-53.0,-60.0,0.0
LUX-BRI,2019-06-11,6407,11:45,O,June,Tuesday,0.0,19.111707741328814,-47.0,4.554134847012392e-13
LUX-BRI,2019-06-11,6408,14:35,I,June,Tuesday,0.0,55.75114381623861,1.0,0.8717742437498393
LUX-BRI,2019-06-14,6407,11:45,O,June,Friday,0.0,47.07980775853318,-8.0,0.2400713281909167
LUX-BRI,2019-06-14,6408,14:35,I,June,Friday,0.0,45.84260821867291,-11.0,0.13794055316214326
LUX-BRI,2019-06-16,6407,12:50,O,June,Sunday,0.0,41.475111652363736,-12.0,0.12157775132875859
LUX-BRI,2019-06-16,6408,14:55,I,June,Sunday,0.9999981979040509,-22.0,-30.0,3.675984200146587e-06
LUX-BRI,2019-06-18,6407,11:45,O,June,Tuesday,0.1630883298652951,7.081707686141996,-27.0,2.865981075350632e-05
