Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-CPH,2019-05-02,5433,06:10,O,May,Thursday,1.0,-22.400000000000013,-39.0,0.0
LUX-CPH,2019-05-02,5434,08:35,I,May,Thursday,1.0,-25.400000000000013,-42.0,0.0
LUX-CPH,2019-05-02,5435,17:55,O,May,Thursday,1.0,-34.10912999002375,-56.0,0.0
LUX-CPH,2019-05-02,5435,18:00,O,May,Thursday,1.0,-52.39999999999999,-69.0,0.0
LUX-CPH,2019-05-02,5436,20:30,I,May,Thursday,1.0,-29.239488352092117,-45.0,0.0
LUX-CPH,2019-05-02,5437,12:40,O,May,Thursday,1.0,-35.395627229026324,-52.0,0.0
LUX-CPH,2019-05-02,5437,12:45,O,May,Thursday,1.0,-54.79999999999997,-71.0,0.0
LUX-CPH,2019-05-02,5438,15:10,I,May,Thursday,1.0,-30.39999999999999,-47.0,0.0
LUX-CPH,2019-05-03,5433,06:10,O,May,Friday,1.0,-32.366948700924105,-49.0,0.0
LUX-CPH,2019-05-03,5433,06:15,O,May,Friday,1.0,-51.800000000000026,-68.0,0.0
LUX-CPH,2019-05-03,5434,08:35,I,May,Friday,1.0,-35.4,-52.0,0.0
LUX-CPH,2019-05-03,5435,17:55,O,May,Friday,1.0,-24.4,-41.0,0.0
LUX-CPH,2019-05-03,5435,18:00,O,May,Friday,1.0,-51.4,-68.0,0.0
LUX-CPH,2019-05-03,5436,20:30,I,May,Friday,1.0,-23.4,-66.0,0.0
LUX-CPH,2019-05-03,5437,12:40,O,May,Friday,0.9999993678237057,-8.393781582215503,-25.0,0.0
LUX-CPH,2019-05-03,5437,12:45,O,May,Friday,1.0,-53.800000000000026,-70.0,0.0
LUX-CPH,2019-05-03,5438,15:10,I,May,Friday,1.0,-26.047200297110138,-41.0,0.0
LUX-CPH,2019-05-04,5433,06:10,O,May,Saturday,1.0,-30.39999999999999,-47.0,0.0
LUX-CPH,2019-05-04,5434,08:35,I,May,Saturday,1.0,-26.39999999999999,-43.0,0.0
LUX-CPH,2019-05-05,5435,18:20,O,May,Sunday,0.9999999977086178,-14.399999999999999,-31.0,0.0
LUX-CPH,2019-05-05,5436,20:50,I,May,Sunday,0.504267795579273,1.6000000000000014,-22.0,1.6152357229515246e-10
LUX-CPH,2019-05-05,5437,13:20,O,May,Sunday,0.0,5.600000000000001,-11.0,0.0002896626320869622
LUX-CPH,2019-05-05,5437,13:25,O,May,Sunday,1.0,-52.4,-69.0,0.0
LUX-CPH,2019-05-05,5438,15:50,I,May,Sunday,0.0,14.600000000000001,-2.0,0.48013051604357393
LUX-CPH,2019-05-05,5438,15:55,I,May,Sunday,1.0,-51.4,-68.0,0.0
LUX-CPH,2019-05-06,5433,06:10,O,May,Monday,1.0,-26.0,-30.0,0.0
LUX-CPH,2019-05-06,5434,08:35,I,May,Monday,0.9999996679205381,-12.399999999999999,-29.0,3.3306690738754696e-15
LUX-CPH,2019-05-06,5435,17:55,O,May,Monday,0.999999999999677,-20.61108660743112,-37.0,0.0
LUX-CPH,2019-05-06,5436,20:30,I,May,Monday,0.9999999999999024,-21.4,-38.0,0.0
LUX-CPH,2019-05-06,5437,12:40,O,May,Monday,0.9999942854586206,-10.392763634281188,-27.0,1.120215031846783e-13
LUX-CPH,2019-05-06,5437,12:45,O,May,Monday,1.0,-47.800000000000026,-65.0,0.0
LUX-CPH,2019-05-06,5438,15:10,I,May,Monday,0.9999999993722856,-16.4,-33.0,0.0
LUX-CPH,2019-05-07,5433,06:10,O,May,Tuesday,0.9999999999996159,-23.400000000000013,-40.0,0.0
LUX-CPH,2019-05-07,5434,08:35,I,May,Tuesday,0.99999999995407,-20.400000000000013,-37.0,0.0
LUX-CPH,2019-05-07,5435,17:55,O,May,Tuesday,0.9999999999998783,-25.39999999999999,-42.0,0.0
LUX-CPH,2019-05-07,5435,18:00,O,May,Tuesday,1.0,-49.39999999999999,-66.0,0.0
LUX-CPH,2019-05-07,5436,20:30,I,May,Tuesday,1.0,-32.931119583821115,-49.0,0.0
LUX-CPH,2019-05-07,5437,12:40,O,May,Tuesday,0.9999999999999976,-26.400000000000013,-43.0,0.0
LUX-CPH,2019-05-07,5438,15:10,I,May,Tuesday,0.9999999999999999,-29.843367450933286,-47.0,0.0
LUX-CPH,2019-05-08,5433,06:10,O,May,Wednesday,0.9999961527516323,-10.0,-47.0,0.0
LUX-CPH,2019-05-08,5434,08:35,I,May,Wednesday,0.0,11.399999999999997,-43.0,0.0
LUX-CPH,2019-05-08,5435,17:55,O,May,Wednesday,0.0,34.54929577464788,-18.0,1.4767323423314771e-05
LUX-CPH,2019-05-08,5435,18:00,O,May,Wednesday,0.9999870959855506,-7.599999999999998,-61.0,0.0
LUX-CPH,2019-05-08,5436,20:30,I,May,Wednesday,0.0,12.001933565904888,-18.0,3.912800225380764e-06
LUX-CPH,2019-05-08,5437,12:40,O,May,Wednesday,0.802161684404717,-1.4210854715202004e-14,-40.0,0.0
LUX-CPH,2019-05-08,5438,15:10,I,May,Wednesday,0.08197065951980517,4.2112676056338,-38.0,1.1102230246251565e-16
LUX-CPH,2019-05-09,5433,06:10,O,May,Thursday,0.08388695980728311,6.599999999999987,-29.0,2.2661899024001286e-09
LUX-CPH,2019-05-09,5434,08:35,I,May,Thursday,1.0,-32.37023964298005,-50.0,0.0
LUX-CPH,2019-05-09,5435,17:55,O,May,Thursday,0.9911526032156507,-5.3999999999999915,-23.0,3.476257026679974e-07
LUX-CPH,2019-05-09,5435,18:00,O,May,Thursday,1.0,-46.39999999999999,-64.0,0.0
LUX-CPH,2019-05-09,5436,20:30,I,May,Thursday,0.9999991537675307,-15.399999999999991,-33.0,2.4711344082106734e-12
LUX-CPH,2019-05-09,5437,12:40,O,May,Thursday,0.7854448120956761,0.5999999999999872,-17.0,3.2074221590794316e-05
LUX-CPH,2019-05-09,5438,15:10,I,May,Thursday,0.9999794631045547,-12.399999999999991,-30.0,1.1253398213284527e-10
LUX-CPH,2019-05-10,5433,06:10,O,May,Friday,0.9999999999769303,-22.4,-40.0,0.0
LUX-CPH,2019-05-10,5434,08:35,I,May,Friday,0.9999997197295579,-15.399999999999999,-33.0,4.971578704271451e-13
LUX-CPH,2019-05-10,5435,17:55,O,May,Friday,0.9999999996021653,-20.4,-38.0,3.3306690738754696e-16
LUX-CPH,2019-05-10,5435,18:00,O,May,Friday,1.0,-43.4,-61.0,0.0
LUX-CPH,2019-05-10,5436,20:30,I,May,Friday,0.46510006761949974,3.0,-1.0,0.6859741638748408
LUX-CPH,2019-05-10,5437,12:40,O,May,Friday,0.9999999996021653,-20.4,-38.0,3.3306690738754696e-16
LUX-CPH,2019-05-10,5438,15:10,I,May,Friday,0.9986102937624647,-7.399999999999999,-25.0,1.8455209249701454e-08
LUX-CPH,2019-05-11,5433,06:10,O,May,Saturday,1.0,-29.39999999999999,-47.0,0.0
