Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-DUB,2019-05-02,4883,17:45,O,May,Thursday,1.0,-62.999999999999986,-93.0,0.0
LUX-DUB,2019-05-02,4884,19:30,I,May,Thursday,1.0,-70.05745096984336,-100.0,0.0
LUX-DUB,2019-05-03,4883,17:45,O,May,Friday,1.0,-31.176560197221164,-52.0,0.0
LUX-DUB,2019-05-03,4884,19:30,I,May,Friday,0.9999999895336806,-13.999828911998165,-45.0,0.0
LUX-DUB,2019-05-04,4881,06:35,O,May,Saturday,1.0,-27.99999999999998,-72.0,0.0
LUX-DUB,2019-05-05,4883,18:00,O,May,Sunday,1.0,-63.95452088959371,-94.0,0.0
LUX-DUB,2019-05-05,4884,19:45,I,May,Sunday,0.0,68.0,-59.0,0.0
LUX-DUB,2019-05-06,4883,17:45,O,May,Monday,0.9999999642685101,-17.99873315953775,-29.0,4.6004533515997537e-11
LUX-DUB,2019-05-06,4884,19:30,I,May,Monday,1.0,-47.0,-52.0,0.0
LUX-DUB,2019-05-07,4883,17:45,O,May,Tuesday,1.0,-74.2975699422991,-104.0,0.0
LUX-DUB,2019-05-07,4884,19:30,I,May,Tuesday,1.0,-56.999999999999986,-88.0,0.0
LUX-DUB,2019-05-08,4883,17:45,O,May,Wednesday,0.0,25.57119697506669,-39.0,1.3322676295501878e-15
LUX-DUB,2019-05-08,4884,19:30,I,May,Wednesday,0.0,18.262825218804238,-84.0,0.0
LUX-DUB,2019-05-09,4883,17:45,O,May,Thursday,1.0,-48.999999999999986,-80.0,0.0
LUX-DUB,2019-05-09,4884,19:30,I,May,Thursday,1.0,-62.050569420030754,-90.0,0.0
LUX-DUB,2019-05-10,4883,17:45,O,May,Friday,0.9999999999999996,-37.00000000000003,-68.0,0.0
LUX-DUB,2019-05-10,4884,19:30,I,May,Friday,1.0,-49.0,-56.0,0.0
LUX-DUB,2019-05-11,4881,06:35,O,May,Saturday,1.0,-24.99999999999998,-67.0,0.0
LUX-DUB,2019-05-12,4883,18:00,O,May,Sunday,0.9997197383829306,-11.0,-18.0,0.0005798557565452889
LUX-DUB,2019-05-12,4884,19:45,I,May,Sunday,0.0,92.01011487472779,-6.0,0.396847674043452
LUX-DUB,2019-05-13,4883,17:45,O,May,Monday,0.9999999977563281,-27.00000000000003,-58.0,0.0
LUX-DUB,2019-05-13,4884,19:30,I,May,Monday,0.9999999999992153,-36.0766729967646,-67.0,0.0
LUX-DUB,2019-05-14,4883,17:45,O,May,Tuesday,1.0,-63.424666438536235,-92.0,0.0
LUX-DUB,2019-05-14,4884,19:30,I,May,Tuesday,1.0,-58.999999999999986,-90.0,0.0
LUX-DUB,2019-05-15,4883,17:45,O,May,Wednesday,0.027304698648519223,7.0,-71.0,0.0
LUX-DUB,2019-05-15,4884,19:30,I,May,Wednesday,0.07303300620161596,5.19431891926903,-59.0,0.0
LUX-DUB,2019-05-16,4883,17:45,O,May,Thursday,0.9316884715519622,-3.9948662363773764,-35.0,1.4024333168105585e-06
LUX-DUB,2019-05-16,4884,19:30,I,May,Thursday,0.9999997060049357,-24.999999999999986,-56.0,1.0103029524088925e-14
LUX-DUB,2019-05-17,4883,17:45,O,May,Friday,0.9999956408640556,-21.00000000000003,-51.0,9.742207041085749e-13
LUX-DUB,2019-05-17,4884,19:30,I,May,Friday,0.9999996884934167,-22.0,-29.0,3.115065833059205e-07
LUX-DUB,2019-05-18,4881,06:35,O,May,Saturday,0.9999472678684963,-9.999999999999979,-50.0,0.0
LUX-DUB,2019-05-19,4883,18:00,O,May,Sunday,0.999999999999998,-43.0,-51.0,1.9984014443252818e-15
LUX-DUB,2019-05-19,4884,19:45,I,May,Sunday,0.0,75.00456170276277,-16.0,0.052376654358274655
LUX-DUB,2019-05-20,4883,17:45,O,May,Monday,0.9984203310633698,-12.000000000000028,-43.0,1.8508300891895146e-08
