Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-NCE,2019-05-02,8255,12:35,O,May,Thursday,1.0,-38.99999999999997,-68.0,0.0
LUX-NCE,2019-05-02,8256,14:45,I,May,Thursday,1.0,-25.439327430217958,-84.0,0.0
LUX-NCE,2019-05-03,8255,12:35,O,May,Friday,0.9999999967167035,-12.962411322915457,-52.0,0.0
LUX-NCE,2019-05-03,8256,14:45,I,May,Friday,0.9999999999991994,-15.993432300141393,-65.0,0.0
LUX-NCE,2019-05-04,8253,06:25,O,May,Saturday,0.9999993703058322,-8.400000000000013,-24.0,0.0
LUX-NCE,2019-05-05,8257,19:00,O,May,Sunday,1.0,-46.99999999999997,-78.0,0.0
LUX-NCE,2019-05-05,8258,21:10,I,May,Sunday,0.0,29.317576812041906,1.0,0.694267687183208
LUX-NCE,2019-05-06,8255,12:35,O,May,Monday,1.0,-39.99999999999996,-81.0,0.0
LUX-NCE,2019-05-06,8256,14:45,I,May,Monday,1.0,-35.99999999999997,-67.0,0.0
LUX-NCE,2019-05-07,8255,12:35,O,May,Tuesday,0.9999999990380698,-17.999999999999986,-79.0,0.0
LUX-NCE,2019-05-07,8256,14:45,I,May,Tuesday,1.0,-49.826086956521706,-98.0,0.0
LUX-NCE,2019-05-08,8255,12:35,O,May,Wednesday,0.9999881144726545,-12.623188405797052,-61.0,0.0
LUX-NCE,2019-05-08,8256,14:45,I,May,Wednesday,0.9999999999565216,-20.999999999999986,-83.0,0.0
LUX-NCE,2019-05-09,8255,12:35,O,May,Thursday,0.9434610477433462,-2.7933774787556587,-34.0,2.2270296717863403e-11
LUX-NCE,2019-05-09,8256,14:45,I,May,Thursday,0.999999999999929,-26.00000000000003,-84.0,0.0
LUX-NCE,2019-05-10,8255,12:35,O,May,Friday,1.0,-37.9999999999999,-77.0,0.0
LUX-NCE,2019-05-10,8256,14:45,I,May,Friday,0.9997400522897092,-10.770745748147291,-58.0,0.0
LUX-NCE,2019-05-11,8253,06:25,O,May,Saturday,0.9999999999999996,-24.400000000000013,-35.0,0.0
LUX-NCE,2019-05-12,8257,19:00,O,May,Sunday,0.9999999999758439,-28.99999999999997,-60.0,0.0
LUX-NCE,2019-05-12,8258,21:10,I,May,Sunday,0.0,18.00000000000003,-13.0,0.024653771657170864
LUX-NCE,2019-05-13,8255,12:35,O,May,Monday,0.9999999999997065,-31.999999999999957,-73.0,0.0
LUX-NCE,2019-05-13,8256,14:45,I,May,Monday,1.0,-43.998515197222886,-75.0,0.0
LUX-NCE,2019-05-14,8255,12:35,O,May,Tuesday,0.9999999721924889,-20.999999999999986,-79.0,0.0
LUX-NCE,2019-05-14,8256,14:45,I,May,Tuesday,1.0,-38.51839038201605,-84.0,0.0
LUX-NCE,2019-05-15,8255,12:35,O,May,Wednesday,0.9111587481083283,-2.832021111894278,-48.0,1.9317880628477724e-14
LUX-NCE,2019-05-15,8256,14:45,I,May,Wednesday,0.9999999960505497,-22.999999999999986,-82.0,0.0
LUX-NCE,2019-05-16,8255,12:35,O,May,Thursday,0.999999943677354,-24.99999999999997,-56.0,1.1102230246251565e-16
LUX-NCE,2019-05-16,8256,14:45,I,May,Thursday,0.999584176222413,-11.000000000000028,-67.0,0.0
LUX-NCE,2019-05-17,8255,12:35,O,May,Friday,0.9999998324861785,-22.9999999999999,-45.0,1.8678392166293634e-12
LUX-NCE,2019-05-17,8256,14:45,I,May,Friday,0.9999961116009211,-17.391304347826107,-65.0,0.0
LUX-NCE,2019-05-18,8253,06:25,O,May,Saturday,0.9999998568136828,-16.400000000000013,-23.0,7.962062120725477e-09
LUX-NCE,2019-05-18,8254,08:40,I,May,Saturday,1.0,-47.50000000000002,-66.0,0.0
LUX-NCE,2019-05-19,8257,19:00,O,May,Sunday,0.9999999989383948,-30.99999999999997,-61.0,0.0
LUX-NCE,2019-05-19,8258,21:10,I,May,Sunday,0.7531203408379054,0.04145687662523301,-21.0,0.0021204607051074076
LUX-NCE,2019-05-20,8255,12:35,O,May,Monday,0.9999999999999676,-39.97615536485388,-63.0,0.0
LUX-NCE,2019-05-20,8256,14:45,I,May,Monday,0.9999920455800615,-19.99999999999997,-51.0,1.3345990979019007e-12
LUX-NCE,2019-05-21,8255,12:35,O,May,Tuesday,0.9997445412758399,-12.999999999999986,-69.0,0.0
LUX-NCE,2019-05-21,8256,14:45,I,May,Tuesday,0.9999999999062809,-31.826086956521706,-61.0,0.0
LUX-NCE,2019-05-22,8255,12:35,O,May,Wednesday,0.9999994739693282,-22.623188405797052,-68.0,0.0
LUX-NCE,2019-05-22,8256,14:45,I,May,Wednesday,0.9910463877551463,-7.999999999999986,-64.0,0.0
LUX-NCE,2019-05-23,8255,12:35,O,May,Thursday,0.9999966367635805,-22.39227839010148,-53.0,2.652766895039349e-12
LUX-NCE,2019-05-23,8256,14:45,I,May,Thursday,0.9998811939147653,-14.000000000000028,-67.0,0.0
LUX-NCE,2019-05-24,8255,12:35,O,May,Friday,1.0367241556376263e-08,27.21256463647545,-25.0,0.0023466034040097172
LUX-NCE,2019-05-24,8256,14:45,I,May,Friday,0.9998932858832128,-15.391304347826107,-61.0,5.218048215738236e-15
LUX-NCE,2019-05-25,8253,06:25,O,May,Saturday,0.0,26.471269455546228,7.0,0.9999405458610512
LUX-NCE,2019-05-25,8254,08:40,I,May,Saturday,1.0,-43.50000000000002,-62.0,0.0
LUX-NCE,2019-05-26,8257,19:00,O,May,Sunday,0.9999999999598487,-37.99999999999997,-69.0,0.0
LUX-NCE,2019-05-26,8258,21:10,I,May,Sunday,0.9513740455163618,-4.953285774860802,-36.0,7.378338883867741e-06
LUX-NCE,2019-05-27,8255,12:35,O,May,Monday,0.07946598320677138,11.040607438912744,-26.0,0.0012351539222911212
LUX-NCE,2019-05-27,8256,14:45,I,May,Monday,0.009179112265794747,17.107427909799597,-13.0,0.12120792978858097
LUX-NCE,2019-05-28,8255,12:35,O,May,Tuesday,0.7507024504952984,0.20233226950736594,-52.0,1.932636273238586e-10
LUX-NCE,2019-05-28,8256,14:45,I,May,Tuesday,0.908582540587333,-2.8260869565217064,-46.0,1.6070901054376918e-08
LUX-NCE,2019-05-29,8255,12:35,O,May,Wednesday,0.09973877648463776,11.606532239268844,-32.0,0.0001239434732436262
LUX-NCE,2019-05-29,8256,14:45,I,May,Wednesday,0.7221989602242082,1.0000000000000142,-52.0,3.801009507142794e-10
LUX-NCE,2019-05-30,8255,12:35,O,May,Thursday,0.2221768007606395,9.110771626633948,-21.0,0.016815914161250167
LUX-NCE,2019-05-30,8256,14:45,I,May,Thursday,0.9170212627826368,-2.0000000000000284,-53.0,3.4008407201469026e-10
LUX-NCE,2019-05-31,8255,12:35,O,May,Friday,0.9999903169354203,-22.9999999999999,-59.0,6.535993968270759e-12
LUX-NCE,2019-05-31,8256,14:45,I,May,Friday,0.9887788934149653,-8.391304347826107,-52.0,1.2767688017945034e-09
LUX-NCE,2019-06-01,8253,06:25,O,June,Saturday,0.9999982548107813,-17.400000000000013,-35.0,1.85215176529141e-10
LUX-NCE,2019-06-02,8257,19:00,O,June,Sunday,0.0058525576270391675,17.499999999999986,-23.0,0.009293873641368133
LUX-NCE,2019-06-02,8258,21:10,I,June,Sunday,0.0,62.587835822900814,33.0,0.9999999999986916
LUX-NCE,2019-06-03,8255,12:35,O,June,Monday,0.9432618953659522,-4.159420289855021,-50.0,1.136342631102849e-08
LUX-NCE,2019-06-03,8256,14:45,I,June,Monday,0.0007545745921829893,21.789855072463766,-18.0,0.049919256937208334
LUX-NCE,2019-06-04,8255,12:35,O,June,Tuesday,0.9964817964886203,-10.0,-66.0,1.5365486660812167e-13
LUX-NCE,2019-06-04,8256,14:45,I,June,Tuesday,0.8952217287872838,-2.4999999999999716,-48.0,6.238904426414393e-08
LUX-NCE,2019-06-05,8255,12:35,O,June,Wednesday,0.9641953414299902,-5.499999999999972,-58.0,1.1538237032482357e-10
LUX-NCE,2019-06-05,8256,14:45,I,June,Wednesday,0.9992771946463721,-13.888059701492509,-68.0,5.728750807065808e-14
LUX-NCE,2019-06-06,8255,12:35,O,June,Thursday,0.4602351842071998,5.499999999999986,-34.0,0.00021440450570531233
LUX-NCE,2019-06-06,8256,14:45,I,June,Thursday,0.9956979025450386,-10.634328358208947,-60.0,4.428091227026698e-11
LUX-NCE,2019-06-07,8255,12:35,O,June,Friday,0.011123634378236923,19.001368344245492,-10.0,0.3273761816801518
LUX-NCE,2019-06-07,8256,14:45,I,June,Friday,0.6416051248827193,2.000000000000014,-41.0,8.771617025171707e-06
LUX-NCE,2019-06-08,8253,06:25,O,June,Saturday,0.09544442755528104,8.599999999999987,-9.0,0.11255629639979836
LUX-NCE,2019-06-09,8257,19:00,O,June,Sunday,0.9999314970130218,-20.500000000000014,-50.0,1.800250237771195e-08
