Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-TXL,2019-05-03,9471,06:45,O,May,Friday,1.0,-37.4,-56.0,0.0
LUX-TXL,2019-05-03,9471,06:55,O,May,Friday,1.0,-56.4,-72.0,0.0
LUX-TXL,2019-05-03,9472,08:55,I,May,Friday,1.0,-34.40082066433671,-49.0,0.0
LUX-TXL,2019-05-03,9472,09:50,I,May,Friday,1.0,-56.4,-72.0,0.0
LUX-TXL,2019-05-03,9473,18:35,O,May,Friday,1.0,-19.0,-21.0,0.0
LUX-TXL,2019-05-03,9473,18:50,O,May,Friday,1.0,-48.260563380281695,-72.0,0.0
LUX-TXL,2019-05-03,9474,20:45,I,May,Friday,1.0,-29.290229896838078,-45.0,0.0
LUX-TXL,2019-05-04,9475,11:15,O,May,Saturday,0.9999999999794358,-14.0,-16.0,2.0564216995921925e-11
LUX-TXL,2019-05-04,9476,13:20,I,May,Saturday,1.0,-30.47874306751659,-71.0,0.0
LUX-TXL,2019-05-04,9476,13:25,I,May,Saturday,0.0,36.6579209188582,-19.0,7.589595618640033e-12
LUX-TXL,2019-05-05,9473,18:50,O,May,Sunday,0.9999992904318346,-11.3913885827318,-27.0,1.7763568394002505e-15
LUX-TXL,2019-05-05,9474,21:00,I,May,Sunday,0.999959222315076,-8.399999999999984,-25.0,2.44804176929847e-13
LUX-TXL,2019-05-06,9471,06:45,O,May,Monday,0.9999999999984964,-20.359976289279835,-38.0,0.0
LUX-TXL,2019-05-06,9471,06:55,O,May,Monday,1.0,-51.4,-69.0,0.0
LUX-TXL,2019-05-06,9472,08:55,I,May,Monday,0.9999999999999998,-25.359976289279835,-42.0,0.0
LUX-TXL,2019-05-06,9472,09:50,I,May,Monday,1.0,-50.4,-68.0,0.0
LUX-TXL,2019-05-06,9473,18:35,O,May,Monday,0.9999998915537068,-13.341281902816966,-30.0,2.6645352591003757e-15
LUX-TXL,2019-05-06,9474,20:10,I,May,Monday,1.0,-42.00000000000001,-69.0,0.0
LUX-TXL,2019-05-06,9474,20:45,I,May,Monday,0.9999999999999881,-23.350022047054864,-42.0,0.0
LUX-TXL,2019-05-07,9471,06:45,O,May,Tuesday,0.9999970148393469,-12.346988124251745,-29.0,1.0512701820175607e-12
LUX-TXL,2019-05-07,9471,06:55,O,May,Tuesday,1.0,-49.4,-67.0,0.0
LUX-TXL,2019-05-07,9472,08:55,I,May,Tuesday,1.0,-32.12503570515397,-49.0,0.0
LUX-TXL,2019-05-07,9473,18:35,O,May,Tuesday,0.9999999999999997,-27.308556660571504,-44.0,0.0
LUX-TXL,2019-05-07,9474,20:10,I,May,Tuesday,1.0,-49.0,-67.0,0.0
LUX-TXL,2019-05-07,9474,20:45,I,May,Tuesday,0.9999999999996605,-22.0,-26.0,4.143352327901084e-13
LUX-TXL,2019-05-08,9471,06:45,O,May,Wednesday,0.0,9.46189364015071,-15.0,3.18979074764858e-05
LUX-TXL,2019-05-08,9471,06:55,O,May,Wednesday,0.9999999977705498,-11.599548299603144,-66.0,0.0
LUX-TXL,2019-05-08,9472,08:55,I,May,Wednesday,0.15482878809164402,2.670884008693564,-50.0,0.0
LUX-TXL,2019-05-08,9473,18:35,O,May,Wednesday,0.0,35.85586744567696,-13.0,0.0006861490204322918
LUX-TXL,2019-05-08,9474,20:10,I,May,Wednesday,1.0,-48.4,-66.0,0.0
LUX-TXL,2019-05-08,9474,20:45,I,May,Wednesday,0.03990351892894277,5.754119444295412,-12.0,0.0008178856272510471
LUX-TXL,2019-05-09,9471,06:45,O,May,Thursday,0.0,33.75190966590142,-8.0,0.04752860505415457
LUX-TXL,2019-05-09,9471,06:55,O,May,Thursday,1.0,-47.4,-65.0,0.0
LUX-TXL,2019-05-09,9472,08:55,I,May,Thursday,0.7080480882237012,0.8416768164974542,-48.0,0.0
LUX-TXL,2019-05-09,9473,18:35,O,May,Thursday,0.0,7.825055972208219,-36.0,6.217248937900877e-15
LUX-TXL,2019-05-09,9473,18:45,O,May,Thursday,1.0,-114.20000000000002,-154.0,0.0
LUX-TXL,2019-05-09,9474,20:45,I,May,Thursday,0.0,34.448843092238974,-103.0,1.6416074077874043e-07
LUX-TXL,2019-05-10,9471,06:45,O,May,Friday,0.9999999754621035,-18.4,-44.0,0.0
LUX-TXL,2019-05-10,9471,06:55,O,May,Friday,1.0,-45.4,-64.0,0.0
LUX-TXL,2019-05-10,9472,08:55,I,May,Friday,0.9999999999792923,-24.309803337800936,-41.0,1.1102230246251565e-16
