Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
LUX-VIE,2019-05-03,8851,06:55,O,May,Friday,0.9999997084842135,-6.56321699081542,-34.0,0.0
LUX-VIE,2019-05-03,8852,09:40,I,May,Friday,1.0,-25.065256248583694,-51.0,0.0
LUX-VIE,2019-05-03,8853,14:10,O,May,Friday,1.0,-48.40000000000003,-65.0,0.0
LUX-VIE,2019-05-03,8853,14:15,O,May,Friday,1.0,-41.40000000000003,-58.0,0.0
LUX-VIE,2019-05-03,8853,14:20,O,May,Friday,1.0,-53.40000000000003,-70.0,0.0
LUX-VIE,2019-05-03,8854,17:50,I,May,Friday,1.0,-18.413409763277635,-35.0,0.0
LUX-VIE,2019-05-03,8855,10:30,O,May,Friday,1.0,-27.579917799749204,-44.0,0.0
LUX-VIE,2019-05-03,8856,13:15,I,May,Friday,1.0,-25.018612050221762,-49.0,0.0
LUX-VIE,2019-05-03,8857,17:40,O,May,Friday,1.0,-35.41344268784436,-52.0,0.0
LUX-VIE,2019-05-03,8858,20:50,I,May,Friday,1.0,-27.409391156689544,-46.0,0.0
LUX-VIE,2019-05-04,8851,06:55,O,May,Saturday,0.9884938343717065,-2.5677560675595004,-26.0,0.0
LUX-VIE,2019-05-04,8852,09:40,I,May,Saturday,1.0,-18.440314433685224,-34.0,0.0
LUX-VIE,2019-05-04,8857,17:40,O,May,Saturday,0.0,2.4535457354567995,-29.0,0.0
LUX-VIE,2019-05-04,8858,20:50,I,May,Saturday,0.9999999302258004,-8.0,-10.0,6.386056060625478e-07
LUX-VIE,2019-05-05,8851,06:55,O,May,Sunday,0.9250259285557747,-0.24335807812946086,-35.0,0.0
LUX-VIE,2019-05-05,8852,09:40,I,May,Sunday,0.0,12.426510423385608,-7.0,0.002762266640837896
LUX-VIE,2019-05-05,8853,14:10,O,May,Sunday,1.0,-52.40000000000003,-74.0,0.0
LUX-VIE,2019-05-05,8853,14:15,O,May,Sunday,1.0,-31.400000000000027,-48.0,0.0
LUX-VIE,2019-05-05,8853,14:20,O,May,Sunday,1.0,-54.402256980553354,-71.0,0.0
LUX-VIE,2019-05-05,8854,17:50,I,May,Sunday,0.070913770124751,3.599999999999973,-13.0,4.448353911890024e-07
LUX-VIE,2019-05-05,8857,17:40,O,May,Sunday,0.0,7.938879889702903,-9.0,0.00017454103946334953
LUX-VIE,2019-05-05,8858,20:50,I,May,Sunday,0.0,26.992957746478865,-4.0,0.043479994494789675
LUX-VIE,2019-05-06,8851,06:55,O,May,Monday,0.9999922947675612,-9.382873967884926,-28.0,3.1086244689504383e-15
LUX-VIE,2019-05-06,8852,09:40,I,May,Monday,0.0,5.964629532125805,-19.0,1.0649021331410324e-08
LUX-VIE,2019-05-06,8853,14:10,O,May,Monday,1.0,-44.40000000000005,-62.0,0.0
LUX-VIE,2019-05-06,8853,14:15,O,May,Monday,1.0,-34.40000000000005,-52.0,0.0
LUX-VIE,2019-05-06,8853,14:20,O,May,Monday,1.0,-43.40460435672962,-61.0,0.0
LUX-VIE,2019-05-06,8854,17:50,I,May,Monday,0.9999999959232695,-14.453587670509421,-31.0,0.0
LUX-VIE,2019-05-06,8855,10:30,O,May,Monday,0.9999999828865384,-12.999999999999986,-27.0,1.4432899320127035e-15
LUX-VIE,2019-05-06,8856,13:15,I,May,Monday,0.9341818448046093,-1.3999999999999702,-19.0,4.6907582929023306e-08
LUX-VIE,2019-05-06,8857,17:40,O,May,Monday,0.6747529952041326,0.6696890861960583,-23.0,1.0880185641326534e-14
LUX-VIE,2019-05-06,8858,20:50,I,May,Monday,1.0,-26.44792569207422,-39.0,0.0
LUX-VIE,2019-05-07,8851,06:55,O,May,Tuesday,0.9987998924191918,-5.783194505174805,-45.0,0.0
LUX-VIE,2019-05-07,8852,09:40,I,May,Tuesday,0.9999999999740412,-15.957746478873233,-55.0,0.0
LUX-VIE,2019-05-07,8853,14:10,O,May,Tuesday,1.0,-47.40000000000005,-65.0,0.0
LUX-VIE,2019-05-07,8853,14:15,O,May,Tuesday,1.0,-37.40000000000005,-55.0,0.0
LUX-VIE,2019-05-07,8854,17:50,I,May,Tuesday,0.9999999993203452,-18.144746878197672,-36.0,1.1102230246251565e-16
LUX-VIE,2019-05-07,8855,10:30,O,May,Tuesday,0.9999418404330565,-7.999999999999986,-44.0,0.0
LUX-VIE,2019-05-07,8856,13:15,I,May,Tuesday,0.9998926378635997,-8.041073382930506,-26.0,4.29190016859593e-12
LUX-VIE,2019-05-07,8857,17:40,O,May,Tuesday,0.9999999999980199,-21.74675801506112,-45.0,0.0
LUX-VIE,2019-05-07,8858,20:50,I,May,Tuesday,0.9999999786339185,-15.408450704225366,-39.0,0.0
LUX-VIE,2019-05-08,8851,06:55,O,May,Wednesday,0.981236537871882,-3.4715059595719993,-32.0,3.1086244689504383e-15
LUX-VIE,2019-05-08,8852,09:40,I,May,Wednesday,0.9999999959502212,-14.464788732394368,-52.0,0.0
LUX-VIE,2019-05-08,8853,14:10,O,May,Wednesday,0.9891740542526407,-2.0000000000000124,-57.0,0.0
LUX-VIE,2019-05-08,8853,14:15,O,May,Wednesday,0.0,10.399999999999988,-45.0,0.0
LUX-VIE,2019-05-08,8853,14:20,O,May,Wednesday,0.9999999992414031,-11.600000000000012,-67.0,0.0
LUX-VIE,2019-05-08,8854,17:50,I,May,Wednesday,0.9986591387117586,-6.660247523980431,-30.0,5.270339720198081e-12
LUX-VIE,2019-05-08,8855,10:30,O,May,Wednesday,0.03509112472995407,5.46629250854587,-21.0,6.036371913431537e-08
LUX-VIE,2019-05-08,8856,13:15,I,May,Wednesday,0.9990522679291826,-6.02988499242327,-37.0,0.0
LUX-VIE,2019-05-08,8857,17:40,O,May,Wednesday,0.7360238518373984,0.22535211267604893,-20.0,5.268396187085855e-07
LUX-VIE,2019-05-08,8858,20:50,I,May,Wednesday,0.9999984528052563,-12.289990130727183,-39.0,0.0
LUX-VIE,2019-05-09,8851,06:55,O,May,Thursday,0.0,26.974080864924332,-8.0,0.04128900059081386
LUX-VIE,2019-05-09,8852,09:40,I,May,Thursday,0.9967931419205268,-4.992373190385358,-45.0,0.0
LUX-VIE,2019-05-09,8853,14:10,O,May,Thursday,1.0,-37.40000000000005,-56.0,0.0
LUX-VIE,2019-05-09,8853,14:15,O,May,Thursday,1.0,-31.40000000000005,-50.0,0.0
LUX-VIE,2019-05-09,8853,14:20,O,May,Thursday,1.0,-45.40000000000005,-64.0,0.0
LUX-VIE,2019-05-09,8854,17:50,I,May,Thursday,0.9999999999998455,-25.0,-30.0,1.545430450278218e-13
