Route,DepDate,FltNum,dtime,Direction,month,dday,SpoilageRisk,Intensity_downweighted,Intensity_full,SpillageRisk
SCN-TXL,2019-05-03,9411,06:55,O,May,Friday,1.0,-21.871465127823768,-35.0,0.0
SCN-TXL,2019-05-03,9412,08:50,I,May,Friday,0.9999999999999869,-14.045717442933004,-33.0,0.0
SCN-TXL,2019-05-03,9413,19:00,O,May,Friday,1.0,-22.090912853937468,-35.0,0.0
SCN-TXL,2019-05-03,9414,20:50,I,May,Friday,0.9999999999439412,-9.752778934058462,-44.0,0.0
SCN-TXL,2019-05-03,9415,14:10,O,May,Friday,1.0,-33.849164304164745,-47.0,0.0
SCN-TXL,2019-05-03,9416,16:00,I,May,Friday,1.0,-19.181259708596528,-41.0,0.0
SCN-TXL,2019-05-04,9411,06:35,O,May,Saturday,1.0,-22.45666408047667,-35.0,0.0
SCN-TXL,2019-05-04,9411,06:55,O,May,Saturday,1.0,-60.40000000000002,-79.0,0.0
SCN-TXL,2019-05-04,9412,08:25,I,May,Saturday,0.999999999999056,-17.445488012735154,-31.0,0.0
SCN-TXL,2019-05-04,9412,08:50,I,May,Saturday,1.0,-36.641791044776106,-80.0,0.0
SCN-TXL,2019-05-05,9413,19:00,O,May,Sunday,0.5635013502283766,1.200000857094217,-14.0,2.0941127672702287e-05
SCN-TXL,2019-05-05,9414,20:50,I,May,Sunday,0.0,25.098316056739314,-12.0,1.2130451124914288e-05
SCN-TXL,2019-05-05,9415,14:10,O,May,Sunday,0.9662057501198179,-2.039351609940198,-13.0,6.491759352300619e-10
SCN-TXL,2019-05-05,9416,16:00,I,May,Sunday,0.0,27.61438661553457,-10.0,1.2130451124914288e-05
SCN-TXL,2019-05-06,9411,06:50,O,May,Monday,1.0,-59.40000000000002,-79.0,0.0
SCN-TXL,2019-05-06,9411,06:55,O,May,Monday,0.0,15.218392523901827,2.0,0.579140172338434
SCN-TXL,2019-05-06,9412,08:50,I,May,Monday,0.0,8.299932505205888,-21.0,5.895990362603243e-10
SCN-TXL,2019-05-06,9413,19:00,O,May,Monday,0.9879191961265877,-4.62948478657065,-20.0,1.516499424925044e-07
SCN-TXL,2019-05-06,9414,20:50,I,May,Monday,0.9015888294633385,-0.42299306032277073,-42.0,0.0
SCN-TXL,2019-05-06,9415,14:10,O,May,Monday,0.8796779623457708,-0.30998196259504596,-14.0,1.1663024357400076e-07
SCN-TXL,2019-05-06,9416,16:00,I,May,Monday,0.0,14.4520657309589,-12.0,2.107224299496835e-07
SCN-TXL,2019-05-07,9411,06:55,O,May,Tuesday,0.25622448736605863,3.6055836225026354,-10.0,0.00010976091362802087
SCN-TXL,2019-05-07,9412,08:50,I,May,Tuesday,0.0,10.073254407790458,-27.0,4.583444734862496e-12
SCN-TXL,2019-05-07,9413,19:00,O,May,Tuesday,0.9067304902534357,-1.2233883802253658,-17.0,5.0970316825216244e-05
SCN-TXL,2019-05-07,9414,20:50,I,May,Tuesday,0.6930523864859953,0.9683918838639158,-24.0,9.026113190202523e-14
SCN-TXL,2019-05-07,9415,14:10,O,May,Tuesday,0.9997420217318361,-7.244669272068819,-21.0,4.426581323713208e-11
SCN-TXL,2019-05-07,9416,16:00,I,May,Tuesday,0.0,13.634803092559949,-17.0,2.4584631108659494e-08
SCN-TXL,2019-05-08,9411,06:55,O,May,Wednesday,0.0,33.05375960230427,-3.0,0.07320600669221033
SCN-TXL,2019-05-08,9412,08:50,I,May,Wednesday,0.8672925594080038,-0.5737537024142867,-29.0,8.316236588257198e-12
SCN-TXL,2019-05-08,9413,19:00,O,May,Wednesday,0.0,30.662397759205884,-3.0,0.24159345280725286
SCN-TXL,2019-05-08,9414,20:50,I,May,Wednesday,0.0,15.936904929211394,-10.0,0.0001633696246441385
SCN-TXL,2019-05-08,9415,14:10,O,May,Wednesday,0.0,20.28848743627908,-15.0,1.3328977735982406e-06
SCN-TXL,2019-05-08,9415,14:50,O,May,Wednesday,1.0,-56.40000000000002,-76.0,0.0
SCN-TXL,2019-05-08,9416,16:00,I,May,Wednesday,0.0,16.978044055107134,-10.0,0.0001633696246441385
SCN-TXL,2019-05-09,9411,06:55,O,May,Thursday,0.0,16.235007856036034,-9.0,0.000691091453831616
SCN-TXL,2019-05-09,9412,08:50,I,May,Thursday,0.9999952698380267,-11.385937557666523,-43.0,0.0
SCN-TXL,2019-05-09,9413,19:00,O,May,Thursday,0.0,27.595162995751075,-13.0,0.003904820565284961
SCN-TXL,2019-05-09,9414,20:50,I,May,Thursday,0.0,20.272256395431782,-16.0,1.8458947714794505e-07
SCN-TXL,2019-05-09,9415,14:10,O,May,Thursday,0.0,24.53678189299128,-12.0,0.00010819311196785808
SCN-TXL,2019-05-09,9416,16:00,I,May,Thursday,0.0,25.20658598151914,-17.0,2.9013551450240982e-08
SCN-TXL,2019-05-10,9411,06:50,O,May,Friday,1.0,-52.40000000000002,-72.0,0.0
SCN-TXL,2019-05-10,9411,06:55,O,May,Friday,0.984850008759168,-4.539007230378232,-18.0,5.538244254310598e-07
SCN-TXL,2019-05-10,9412,08:50,I,May,Friday,0.3203580384587152,3.580955391584034,-18.0,2.8963403250981123e-05
SCN-TXL,2019-05-10,9413,19:00,O,May,Friday,0.9859820262830001,-5.496049334882734,-21.0,1.5988204792427574e-05
SCN-TXL,2019-05-10,9414,20:50,I,May,Friday,0.0,16.334831616337226,-16.0,5.535413140744794e-06
SCN-TXL,2019-05-10,9415,14:10,O,May,Friday,0.9994634288495738,-8.660647545406079,-23.0,5.0061534917489325e-09
SCN-TXL,2019-05-10,9416,16:00,I,May,Friday,0.0,11.683322285065401,3.0,0.7965407303253733
SCN-TXL,2019-05-11,9411,06:35,O,May,Saturday,0.9999981418191536,-14.06515832255387,-28.0,1.1340373085033661e-11
