id,observation_date,observation_time,pos,origin,destination,is_one_way,outbound_travel_stop_over,inbound_travel_stop_over,carrier,outbound_flight_no, inbound_flight_no,outbound_departure_date,outbound_departure_time,outbound_arrival_date,outbound_arrival_time,inbound_departure_date,inbound_departure_time,inbound_arrival_date, inbound_arrival_time,outbound_fare_basis,inbound_fare_basis,outbound_booking_class,inbound_booking_class,price_exc,price_inc,tax,currency,source,price_outbound, price_inbound,is_tax_inc_outin,search_class,outbound_fare_family,inbound_fare_family,outbound_seats,inbound_seats,min_stay,outbound_flight_duration,inbound_flight_duration
1296142047903,2019-06-18,01:02,"IE","DUB","LUX","0","","","LG","LG4884","LG4883",2019-06-19,19:30,2019-06-19,22:15,2019-06-26,17:45,2019-06-26,18:45,"HLG2CLS2","GLG2CLS2","H","G",177.00,193.70,16.70,"EUR","Luxair",100.99,75.99,0,"E","","","9","9",7,105,120
1296142055432,2019-06-18,01:02,"LU","LUX","DUB","0","","","LG","LG4883","LG4884",2019-06-19,17:45,2019-06-19,18:45,2019-06-26,19:30,2019-06-26,22:15,"HLG1CLS2","NLG1CLS2","H","N",162.00,178.70,16.70,"EUR","Luxair",100.99,61.00,0,"E","","","9","9",7,120,105
1296145657952,2019-06-18,01:03,"IE","DUB","LUX","1","","","LG","LG4884","",2019-06-20,19:30,2019-06-20,22:40,,,,,"JLG2OW","","J","",721.00,733.91,12.91,"EUR","Luxair",,,1,"E","","","1","",0,130,
1296145650307,2019-06-18,01:04,"LU","LUX","DUB","1","","","LG","LG4883","",2019-06-20,17:25,2019-06-20,18:45,,,,,"YLG1CLS1","","Y","",435.00,438.79,3.79,"EUR","Luxair",,,1,"E","","","1","",0,140,
1296150889616,2019-06-18,01:05,"IE","DUB","LUX","0","","","LG","LG4884","LG4883",2019-06-26,19:30,2019-06-26,22:15,2019-06-28,17:45,2019-06-28,18:45,"GLG2CLS2","LLG2CLS2","G","L",212.00,228.70,16.70,"EUR","Luxair",75.99,135.99,0,"E","","","9","5",2,105,120
1296145595961,2019-06-18,01:05,"IE","DUB","LUX","1","","","LG","LG4884","",2019-06-27,19:30,2019-06-27,22:40,,,,,"HLG2CLS1","","H","",170.00,182.91,12.91,"EUR","Luxair",,,1,"E","","","2","",0,130,
1296146005971,2019-06-18,01:05,"LU","LUX","DUB","1","","","LG","LG4883","",2019-06-27,17:25,2019-06-27,18:45,,,,,"LLG1CLS1","","L","",245.00,248.79,3.79,"EUR","Luxair",,,1,"E","","","1","",0,140,
1296150891497,2019-06-18,01:05,"LU","LUX","DUB","0","","","LG","LG4883","LG4884",2019-06-26,17:45,2019-06-26,18:45,2019-06-28,19:30,2019-06-28,22:15,"GLG1CLS2","HLG1CLS2","G","H",177.00,193.70,16.70,"EUR","Luxair",75.99,100.99,0,"E","","","9","9",2,120,105
1296153168385,2019-06-18,01:06,"IE","DUB","LUX","1","","","LG","LG4884","",2019-07-04,19:30,2019-07-04,22:35,,,,,"NLG2CLS1","","N","",110.00,122.91,12.91,"EUR","Luxair",,,1,"E","","","9","",0,125,
1296150954533,2019-06-18,01:06,"IE","DUB","LUX","0","","","LG","LG4884","LG4883",2019-06-30,19:45,2019-06-30,22:30,2019-07-07,18:00,2019-07-07,19:00,"SLG2CLS2","OLG2CLS2","S","O",237.00,253.70,16.70,"EUR","Luxair",151.00,86.00,0,"E","","","8","9",7,105,120
