;;;;;;;;;;;;;;;;; 2 317 792 ;;;; 18 771 ;;;
key;Departure Date;Flight Number;Day_of_week;Sum_ASK;Sum_RPK;Sum_Revenues;Load factor;Yield;RASK;Month;SEASON;leg;Percentile_RASK_target;type;uplift_population;New Revenue;Rev Upside;;New RPK;RPK Upside;PAX Upside;Stage Length;;
LG-3581_Sun_H;09/04/2017;LG-3581;Sun;74480;60760;8721;0,815789474;14,35319289;11,70918367;4;H;BCN;11,70918367;NONE;NO;;;;;;;980;;
LG-3582_Sun_H;09/04/2017;LG-3582;Sun;68600;54880;4231;0,8;7,709548105;6,167638484;4;H;BCN;6,167638484;NONE;NO;;;;;;;980;;
LG-3591_Sat_H;01/04/2017;LG-3591;Sat;68600;63700;5970;0,928571429;9,372056515;8,702623907;4;H;BCN;12,55102041;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;03/04/2017;LG-3591;Mon;74480;71540;6947;0,960526316;9,710651384;9,327336198;4;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;04/04/2017;LG-3591;Tue;68600;67620;5127;0,985714286;7,582076309;7,473760933;4;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
LG-3591_Wed_H;05/04/2017;LG-3591;Wed;68600;68600;6607;1;9,631195335;9,631195335;4;H;BCN;9,369169096;NONE;NO;;;;;;;980;;
LG-3591_Thu_H;06/04/2017;LG-3591;Thu;68600;63700;6272;0,928571429;9,846153846;9,142857143;4;H;BCN;11,69056812;NONE;NO;;;;;;;980;;
LG-3591_Fri_H;07/04/2017;LG-3591;Fri;72520;70560;12070;0,972972973;17,10600907;16,6436845;4;H;BCN;15,10427536;NONE;NO;;;;;;;980;;
LG-3591_Sat_H;08/04/2017;LG-3591;Sat;68600;68600;13047;1;19,01895044;19,01895044;4;H;BCN;12,55102041;NONE;NO;;;;;;;980;;
LG-3591_Mon_H;10/04/2017;LG-3591;Mon;52920;52920;7402;1;13,98715042;13,98715042;4;H;BCN;9,987963911;NONE;NO;;;;;;;980;;
LG-3591_Tue_H;11/04/2017;LG-3591;Tue;68600;63700;5495;0,928571429;8,626373626;8,010204082;4;H;BCN;8,996264353;NONE;NO;;;;;;;980;;
